mig_abs_nearest, mig_abs_ot
 2.837,  3.795
 1.102,  1.385
 1.536,  2.006
 1.058,  1.347
 2.164,  2.277
 2.377,  2.864
 3.096,  3.142
 1.746,  2.040
 3.343,  3.467
 1.212,  1.448
 2.576,  2.628
 4.984,  5.182
 1.252,  1.507
 2.129,  2.500
 1.272,  1.498
 1.399,  1.418
 2.239,  2.591
 0.680,  0.806
 2.740,  4.702
 2.603,  3.782
 1.035,  1.227
 1.798,  2.122
 2.554,  2.594
 2.075,  2.184
 4.753,  4.926
 0.626,  0.680
 2.461,  2.544
 1.419,  1.542
 0.677,  0.759
 1.329,  1.362
 2.551,  2.846
 1.372,  1.420
 1.604,  1.716
 0.797,  0.888
 1.724,  1.777
 2.060,  2.271
 1.159,  1.458
 0.922,  0.991
 3.476,  3.548
 2.688,  2.832
 1.278,  1.487
 1.783,  1.967
 0.678,  0.843
 1.055,  1.281
 0.827,  1.052
 0.795,  0.942
 1.020,  1.088
 1.674,  1.770
 2.572,  2.723
 1.728,  1.718
 0.722,  0.832
 1.734,  2.027
 0.757,  0.880
 1.002,  1.129
 0.960,  1.024
 0.706,  0.803
 1.076,  1.183
 0.846,  1.055
 1.160,  1.195
 0.506,  0.662
 2.124,  2.293
 1.568,  1.773
 3.504,  3.686
 1.106,  1.313
 0.612,  0.720
 1.387,  1.507
 4.703,  4.997
 1.512,  1.738
 4.360,  4.547
 3.358,  4.487
 5.220,  5.561
 3.200,  4.636
 1.733,  2.241
 1.232,  1.389
 1.480,  1.657
 2.265,  2.383
 0.800,  1.013
 0.738,  0.857
 1.521,  1.603
 3.781,  4.281
 1.620,  1.742
 1.764,  1.850
 2.205,  2.626
 0.807,  0.909
 4.945,  5.297
 0.997,  1.139
 3.700,  3.788
 0.682,  0.797
 1.732,  2.334
 2.020,  2.190
 3.713,  3.777
 2.104,  2.374
 2.067,  2.320
 0.519,  0.576
 0.680,  0.879
 1.566,  1.812
 2.266,  2.331
 1.380,  1.699
 1.832,  1.899
 1.236,  1.588
 1.131,  1.387
 1.432,  1.509
 1.173,  1.211
 0.308,  0.838
 1.283,  1.433
 1.434,  1.583
 3.971,  4.043
 2.721,  2.812
 2.172,  3.888
 3.695,  3.613
 0.891,  1.047
 1.122,  1.442
 2.246,  2.112
 0.219,  0.231
 2.411,  2.438
 1.587,  1.792
 3.089,  3.255
 1.089,  1.260
 1.297,  1.668
 1.585,  1.771
 0.993,  1.066
 0.860,  1.327
 1.350,  1.380
 0.607,  0.881
 1.927,  2.103
 2.054,  2.514
 1.688,  1.849
 2.162,  2.953
 1.253,  1.383
 3.426,  3.588
 0.914,  1.139
 3.659,  3.900
 1.795,  1.964
 0.584,  0.883
 1.383,  1.489
 2.941,  3.199
 0.873,  1.013
 1.935,  2.508
 1.265,  1.330
 3.730,  3.720
 1.950,  2.078
 2.398,  2.465
 1.524,  1.548
 2.399,  2.474
 4.130,  4.273
 2.036,  2.281
 0.915,  1.204
 1.262,  1.352
 3.187,  3.360
 2.928,  4.111
 3.267,  3.359
 1.783,  1.908
 0.672,  1.088
 0.955,  1.036
 2.927,  2.996
 1.743,  1.897
 3.484,  5.164
 1.993,  2.330
 3.448,  3.601
 2.099,  2.981
 2.080,  2.228
 2.645,  2.827
 1.218,  1.492
 1.215,  1.449
 1.669,  1.699
 0.618,  0.709
 1.485,  1.642
 2.358,  2.761
 2.829,  3.190
 1.972,  2.111
 3.140,  5.426
 0.666,  0.998
 2.355,  2.210
 3.372,  3.627
 0.917,  1.137
 3.117,  3.960
 3.392,  3.430
 1.425,  1.609
 2.799,  3.260
 1.921,  1.965
 1.198,  1.333
 6.723,  8.770
 0.963,  1.054
 3.558,  9.423
 0.996,  1.072
 1.341,  1.714
 0.966,  1.146
 1.292,  1.334
 5.006,  5.181
 1.401,  1.514
 0.990,  1.068
 1.280,  1.446
 1.665,  1.766
 2.950,  2.950
 0.614,  0.710
 1.420,  4.220
 1.703,  2.209
 2.946,  3.079
 1.786,  1.897
 0.986,  1.087
 2.796,  2.993
 1.135,  1.485
 1.770,  1.994
 1.439,  1.800
 1.451,  1.498
 1.559,  1.640
 2.327,  2.382
 1.489,  1.509
 2.722,  2.749
 1.422,  1.518
 1.766,  1.998
 1.959,  2.242
 1.732,  2.130
 2.363,  2.384
 3.388,  3.394
 1.960,  2.043
 1.565,  1.783
 0.707,  0.839
 3.084,  3.638
 1.715,  2.504
 0.456,  0.548
 1.733,  1.839
 3.779,  3.820
 5.020,  4.815
