size_diff, size_an4, num_faces_an4
-13.805, 39.720,  4.000
-4.655, 42.373,  9.000
-2.592, 61.922, 11.000
-7.434, 55.935,  7.000
 0.166, 105.010, 12.000
 1.997, 25.945,  3.000
 0.010, 99.646, 14.000
-0.385, 102.795, 16.000
-1.752, 85.436, 14.000
-6.085, 51.115,  9.000
-3.330, 20.850,  5.000
 3.961, 12.056,  3.000
-1.119, 60.552, 11.000
-1.509, 24.147,  5.000
-3.588, 65.277,  8.000
59.132, 14.832,  2.000
 0.224, 75.185, 16.000
 0.382, 95.071, 10.000
-0.634, 84.842, 14.000
 3.011, 36.230,  7.000
-8.792, 53.002,  7.000
-3.867, 47.451, 10.000
-17.150, 32.074,  8.000
 0.152, 34.423,  5.000
 2.966, 26.328,  5.000
-13.439, 35.430,  7.000
 3.312, 111.404, 20.000
 8.982, 33.658,  7.000
-6.479, 48.121,  5.000
-9.332, 38.125,  8.000
 3.324, 37.633,  5.000
 4.168, 226.623, 37.000
 1.245, 19.083,  3.000
-1.418, 27.090,  4.000
-2.231, 73.668,  9.000
-0.062, 139.076, 18.000
-2.515, 101.784, 11.000
-7.418, 39.294,  8.000
 0.585, 96.804, 17.000
-6.635, 87.455, 12.000
-25.979, 44.951,  8.000
 1.577, 105.840, 16.000
32.101, 13.420,  4.000
-0.150, 23.213,  4.000
 2.346, 23.509,  4.000
 0.280, 65.059, 12.000
-0.328, 94.908, 16.000
-5.474, 46.239,  6.000
-6.467, 36.246,  6.000
-0.660, 102.310, 15.000
 3.160, 142.692, 22.000
 1.082, 21.034,  4.000
-0.815, 74.632,  8.000
-9.183, 44.436,  5.000
-0.504, 75.831,  9.000
 1.243, 104.819, 19.000
-9.744, 43.349,  7.000
 1.386, 143.150, 24.000
10.197, 37.845,  8.000
-3.581, 55.812, 10.000
-1.009, 19.463,  4.000
-12.710, 43.584,  6.000
-15.180, 49.068,  8.000
-1.948, 101.986, 18.000
 1.531, 15.448,  3.000
 1.248, 50.036, 10.000
-14.314, 47.558,  6.000
-7.867, 55.611, 10.000
 0.936, 20.279,  4.000
-1.228, 20.031,  3.000
-0.675, 136.600, 22.000
-0.493, 82.612,  9.000
59.047, 12.713,  3.000
-1.027, 102.195, 13.000
 4.465, 165.901, 31.000
 3.276, 24.819,  3.000
 5.041, 38.372,  5.000
-2.912, 78.221, 16.000
-9.958, 44.107,  7.000
-3.325, 38.978,  8.000
102.831, 12.957,  3.000
-8.749, 35.106,  8.000
-6.741, 59.750, 10.000
 0.732, 97.100, 16.000
-1.938, 89.724, 13.000
 0.666, 62.863, 13.000
-0.106, 99.444, 19.000
-2.423, 67.653, 13.000
-3.082, 23.063,  5.000
-0.229, 63.748, 10.000
 4.541, 42.339,  7.000
 1.814, 16.400,  3.000
 1.038, 83.163, 12.000
 2.383, 36.595,  6.000
-0.899, 94.062,  8.000
 0.545, 147.319, 20.000
 2.501, 37.447,  8.000
-4.325, 50.403,  6.000
 2.344, 37.041,  7.000
 1.292, 27.549,  5.000
 1.571, 152.381, 23.000
 1.221, 26.328,  4.000
 3.941, 22.560,  2.000
 1.800, 24.353,  5.000
-15.876, 51.307,  7.000
-1.869, 104.111, 15.000
-3.981, 66.352, 13.000
 1.479, 34.659,  7.000
 1.672, 35.733,  7.000
-4.380, 53.912, 11.000
-10.346, 40.922,  8.000
-12.033, 60.215,  9.000
-5.977, 50.617,  8.000
-2.549, 64.439, 11.000
-1.184, 91.062, 14.000
-11.933, 45.159, 10.000
-9.917, 36.730,  7.000
 1.078, 82.508, 17.000
 3.262, 20.850,  4.000
-1.224, 83.638, 14.000
-1.492, 72.457, 13.000
-8.326, 49.499,  9.000
-6.383, 56.395,  7.000
 3.154, 142.717, 21.000
-10.285, 64.176, 10.000
-16.388, 48.363,  7.000
 0.563, 93.932, 17.000
-5.010, 66.370, 11.000
-3.168, 58.465, 10.000
-0.005, 63.238, 12.000
-10.610, 47.325,  9.000
-1.052, 111.926, 15.000
-5.447, 42.663,  4.000
