gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
-32.043,   -11,-13.033,279.669,-0.459
-17.690,    -9,-11.129,240.087, 0.011
-49.920,   -25,-28.356,105.048, 0.083
59.334,    10, 9.996,-186.152, 0.766
-100.075,   -13,-37.542,8687.828, 0.009
-176.316,   -40,-65.295,43714.454,-0.929
16.184,     8,11.156,198.141, 0.008
79.628,    23,23.466,-30.417, 0.020
48.572,    12, 9.613,3860.014, 0.401
51.191,    14,21.966,-367.981, 0.187
58.063,    17,16.299,170.803, 0.035
-29.661,   -12,-10.961,794.942, 0.014
70.651,    20,22.854,-40.177, 0.017
62.407,    19,19.966,1326.829,-0.030
-1.013,     0,-0.655,3950.362,-0.033
54.142,    12,12.495,231.262, 0.041
26.586,    11,16.188,-203.010,-0.011
75.576,    23,34.966,-86.683, 0.530
-23.835,    -7,-7.312,28.392,-0.000
-76.109,   -34,-35.146,-196.086, 0.005
11.790,     9, 7.516,3197.261, 0.235
62.678,    21,27.466,259.071, 0.026
64.891,    23,31.632,-96.650,-0.008
70.668,    21,25.091,155.324, 0.005
33.850,    11,15.854,777.797, 0.001
72.594,    20,26.966,456.181, 0.022
96.904,    42,46.139,-6460.473, 0.680
92.085,    45,57.000,-3225.077, 0.876
100.776,    47,60.127,-3270.192, 0.728
-20.082,     4, 8.316,307.416,-0.028
111.470,    50,60.306,-2052.637, 0.952
106.140,    49,60.556,-2013.169, 0.790
101.329,    50,67.556,-11923.216, 0.904
59.083,    33,37.841,-2848.016, 0.437
110.185,    48,57.556,-2099.380, 0.824
108.692,    50,60.556,-2570.835, 0.945
71.997,    36,41.444,-13.231, 0.342
98.212,    46,60.181,-3817.503, 0.871
105.268,    46,55.306,-97.867, 0.646
89.990,    41,48.786,-366.763, 0.625
55.965,    25,28.142,-11758.395,-0.000
93.841,    41,44.479,-2636.922, 0.734
83.744,    42,46.889,-1476.676, 0.025
79.516,    38,43.243,-3227.262, 0.604
110.411,    49,64.956,-27.599, 0.896
104.545,    49,59.956,-4179.801, 0.938
96.346,    43,49.101,-161.735, 0.805
103.372,    48,57.889,-711.138, 0.889
26.148,     9,18.482,2109.544, 0.031
57.216,    13,13.958,-5295.736,-0.194
 3.939,     4, 5.458,6250.399, 0.001
-97.771,   -40,-40.911,8271.853,-0.640
-64.803,   -11,-13.968,17595.798,-0.238
-22.059,    -5,-3.613,112.394,-0.071
-1.679,     1, 6.225,-77.184,-0.130
-65.883,   -21,-22.591,6250.399,-0.079
 6.269,     1, 0.825,1202.172,-0.102
-22.826,     6,12.325,17595.798, 0.019
-31.922,   -14,-18.142,4628.896, 0.023
10.825,     4, 5.577,1316.354,-0.029
37.603,    12,15.625,-120.017, 0.557
37.382,    16,26.261,-126.894, 0.360
21.371,    12,15.170,455.485, 0.034
-87.593,   -67,-70.261,5294.377, 0.009
30.678,     9,12.047,144.959, 0.290
 7.517,     8, 7.328,59.868,-0.160
51.380,    18,29.261,144.026,-0.031
 7.805,     4, 8.735,-27.073, 0.047
43.155,    12,11.534,-183.454, 0.030
53.797,    18,18.661,-24.776, 0.888
35.626,    16,26.261,-175.952, 0.425
21.513,    11,16.011,77.480, 0.010
-12.573,     3, 4.111,76.549,-0.203
10.361,     7, 9.636,-86.484, 0.204
 1.454,     5, 8.983,-88.002, 0.011
-30.569,    -6,-10.325,353.306,-0.237
-70.583,   -18,-29.148,-239.497,-0.276
-87.717,   -41,-52.351,90.359,-0.004
 0.232,    -3,-8.611,-15.422, 0.005
20.073,    -3,-10.778,-223.719, 0.017
 6.772,    -1, 1.289,-30.730, 0.029
-18.304,    -9,-16.389,-97.599,-0.191
-107.125,   -57,-70.051,30581.294, 0.008
-80.617,   -45,-57.630,30581.294,-0.017
-30.131,    -5, 1.536,-4447.030,-0.239
-11.620,    -4, 0.922,-4519.767,-0.006
-71.743,   -14,-30.583,11301.486,-0.681
-169.607,   -59,-80.861,605.934,-0.005
-86.961,   -25,-45.750,6948.963, 0.012
-108.900,   -37,-60.189,11337.530,-0.892
 3.856,    -1,-2.482,-621.184, 0.064
-59.905,   -17,-18.910,-336.508, 0.002
-98.874,   -24,-26.688,-408.565,-0.812
-104.553,   -23,-24.517,-284.163,-0.796
-38.005,    -5,-3.500,325.526,-0.003
-22.754,    -3,-7.714,29.493,-0.076
-32.544,    -4,-6.133,129.186,-0.426
-136.425,   -50,-54.115,346.743,-0.752
-49.866,    -9,-10.550,310.190,-0.016
19.052,     4, 9.143,-86.111, 0.580
19.363,     6,10.400,-20.254, 0.084
13.691,     2, 2.000,424.159, 0.030
-68.720,   -24,-30.857,407.550,-0.793
-3.262,     0, 0.364,337.640,-0.301
-12.072,    -2, 0.965,173.842,-0.087
11.873,     2, 1.939,-17.181,-0.018
14.766,     3, 3.523, 6.158, 0.498
-5.409,     1, 0.673,1045.845,-0.237
-6.846,     1, 4.273,113.244,-0.009
-6.589,     0, 1.091,150.846, 0.084
-30.519,    -4,-3.261,990.888,-0.640
-16.862,    -2,-0.958,158.284,-0.302
-117.066,   -35,-33.988,721.729,-0.720
49.444,    15,18.552,-674.982,-0.046
-27.561,    -5,-4.109,4857.970,-0.027
-38.892,    -3,-6.431,10013.979,-0.025
 7.988,    -1, 0.844,-723.725,-0.036
21.469,     5, 5.880,-46.704, 0.013
 3.574,     7, 9.409,10760.920, 0.031
48.158,    17,24.609,87.756, 0.013
 9.201,     1, 2.695,-81.420,-0.007
50.451,    15,16.409,-134.698,-0.009
 4.314,    -2,-2.674,-691.636,-0.011
22.695,    10,14.742,-372.952,-0.081
48.158,    13,19.520,-59.928, 0.025
42.271,    10,13.159,-829.322, 0.001
-4.953,     2, 4.259,-733.550, 0.023
39.117,    12,15.309,-734.061, 0.036
46.575,    12,16.209,-798.436, 0.009
27.854,     6, 9.597,11.363,-0.003
-13.988,    -3,-4.271,5712.743, 0.100
-48.516,   -23,-23.458,1009.321,-0.023
-15.222,    -7,-11.478,48.270, 0.014
-9.068,    -2,-6.869,-251.836,-0.469
 5.377,     3, 0.306,-810.184,-0.023
-174.018,   -50,-59.874,3144.669,-0.052
-55.344,   -22,-30.966,-16.466,-0.390
-29.665,    -7,-13.057,-801.354,-0.103
-10.204,   -10,-17.492,-523.209,-0.028
-43.258,   -15,-20.472,11.866,-0.384
-52.702,   -21,-27.583,-523.209,-0.454
21.910,     5,11.429,-3307.727,-0.028
24.188,     5, 9.206,-3130.777, 0.424
12.845,     0, 3.786,-3171.181, 0.130
36.559,     8,10.762,-1680.068, 0.786
-60.881,   -15,-20.100,42.683,-0.004
-59.184,   -16,-24.219,42.683,-0.003
-130.296,   -41,-48.861,-22.366, 0.034
-20.143,    -3,-5.222,15295.370,-0.002
69.567,    15,18.864,-350.768,-0.036
76.553,    15,18.989,-347.515,-0.019
-30.001,   -27,-31.501,15300.876,-0.033
14.673,     2, 0.358,1599.360,-0.012
36.366,     9,17.025,-186.667,-0.001
59.873,    11,14.489,-62.104, 0.019
74.489,    16,19.882,-412.318, 0.006
38.189,     5, 4.795,349.384, 0.003
 5.731,   -10,-12.231,3488.797, 0.027
74.979,    17,24.572,-283.695, 0.006
-24.164,   -18,-20.700,1442.753,-0.017
32.393,     0, 0.435,556.935, 0.402
-31.653,   -19,-19.428,3767.446,-0.005
31.585,     5, 9.239,-317.443, 0.008
68.757,    13,15.239,-126.927,-0.008
71.755,    14,13.961,-347.853, 0.002
-18.404,     0,-0.913,3691.391,-0.002
50.362,    17,21.739,1346.014,-0.105
36.052,     1, 3.189,-3826.649, 0.777
30.760,     4, 8.417,-3840.639, 0.557
-5.554,     1, 2.482,-1947.257, 0.032
-38.415,   -13,-15.994,-2128.169, 0.025
-22.127,   -10,-15.202,-2532.240, 0.201
-161.310,   -41,-61.182,8444.809, 0.007
-74.610,   -15,-30.500,4006.887,-0.054
-117.908,   -34,-50.622,8444.440,-0.907
24.552,    -1, 1.491,-2119.506, 0.244
70.037,    22,31.019,-1100.595, 0.811
69.343,    19,19.841,-2190.565, 0.525
43.784,     6,10.219,-2690.943,-0.035
64.049,    16,18.369,-2705.384,-0.002
62.641,    20,33.769,-2529.416,-0.009
 1.781,     3, 2.500,891.887,-0.069
-45.149,    -8,-10.902,4223.781,-0.731
-69.119,    -7,-8.354,4178.523,-0.518
 1.103,     2, 1.476,891.548,-0.042
-107.923,   -27,-27.389,1760.835,-0.751
-6.556,     1,-0.667,779.718, 0.000
-4.961,    -2,-3.212,605.122,-0.318
-27.356,    -8,-8.667,1760.835,-0.016
-20.239,    -5,-4.667,1145.139,-0.206
-37.414,   -15,-22.074,29.519,-0.306
33.699,     7, 8.600,-138.633, 0.010
-59.536,   -24,-32.472,205.018,-0.515
 5.467,    -4,-6.438,-19.450, 0.026
-1.137,    -7,-8.842,-134.073, 0.125
-13.987,    -2,-4.857,1106.672,-0.215
-32.158,   -10,-11.500,604.501,-0.498
 2.299,    -6,-10.056,320.094,-0.076
-52.351,   -27,-33.179,-41.103,-0.508
23.356,     1,-1.273,-94.236, 0.362
-40.266,   -25,-30.108,8265.528,-0.457
-21.803,     0,-4.000,2276.266,-0.060
-2.997,    -1, 2.114,-24.724,-0.045
-29.799,   -12,-10.549,46.597, 0.029
-55.867,   -14,-13.796,-122.584, 0.000
 2.636,     0, 3.455,-62.261, 0.004
-4.926,    -1, 2.280,-205.312, 0.019
-94.836,   -21,-21.574,-94.077,-0.500
-31.037,    -6,-5.460,-0.293,-0.377
-44.007,   -13,-9.386,-118.078,-0.017
16.481,     4, 6.506,-212.256,-0.061
-61.882,    -9,-6.386,2257.423,-0.030
21.119,     4, 4.810,-244.265, 0.390
-14.947,   -14,-20.365,5209.975,-0.278
-95.777,   -40,-48.868,9747.280,-0.021
-28.398,   -11,-17.954,5075.670,-0.197
28.046,     9, 4.222,131.580, 0.000
 5.150,     0,-4.056,3315.444, 0.059
29.499,     8, 1.267,-46.118, 0.019
38.120,     6, 0.917,-2.814, 0.373
-2.557,    -4,-4.515,144.912,-0.033
12.644,     0,-4.833,126.506, 0.118
-0.431,     3, 3.267,-151.047,-0.230
24.983,     7, 4.121,115.949, 0.070
-134.025,   -54,-61.542,14218.863,-0.660
13.896,     1,-5.392,-254.530,-0.006
11.803,     7,12.250,53.252,-0.040
-58.577,    -8,-10.708,16131.426,-0.627
14.082,     7,10.028,-114.606,-0.018
-39.439,    -9,-11.950,-336.358, 0.003
-75.981,   -27,-31.285,8560.948,-0.311
-117.912,   -45,-46.865,-220.003,-0.621
-86.477,   -18,-18.603,15867.901,-0.592
-31.353,    -4,-3.300,55.144, 0.018
38.118,    10,12.583,-384.463,-0.053
17.219,     6, 8.150,-181.805,-0.010
14.969,     4, 7.250,-392.302,-0.019
35.540,     9, 8.393,-62.271, 0.567
32.320,     7,10.952,-302.524, 0.455
-3.378,     0,-6.381,6150.729,-0.188
-17.197,    -8,-11.811,3943.991, 0.138
55.068,    12,21.810,-198.801,-0.008
-0.817,     5, 8.747,-47.915,-0.108
46.516,    15,17.810,-230.655,-0.004
59.392,    15,23.810,-198.141, 0.529
-92.292,   -42,-46.302,-113.268, 0.002
64.398,    14, 8.810,10.804, 0.016
52.118,    11, 6.110,958.134, 0.606
67.108,    13,17.185,-260.560, 0.641
-2.316,     2,-1.085,6386.549, 0.077
48.707,    15,20.476,-390.237, 0.598
-122.823,   -51,-55.399,14402.144,-0.508
17.666,     3, 4.698,-304.470,-0.008
43.592,     9, 7.143,-304.470,-0.026
-55.091,   -15,-18.165,-12493.720,-0.436
-11.072,     3, 4.017,-10922.679,-0.372
-24.445,   -11,-13.018, 0.455,-0.024
14.743,     5, 3.845,-51.364, 0.037
 9.235,     7,14.417,-93.250,-0.009
-86.640,   -23,-27.069,2439.825,-0.018
 1.012,     0,-2.667,62.297, 0.013
-3.063,    -1,-1.660,-127.135,-0.004
-34.881,    -5,-6.289,2563.183, 0.030
-3.119,     0, 1.917,-1.549, 0.028
-59.197,    -9,-10.500,39.520, 0.006
-35.979,    -7,-6.727,-55.398,-0.026
-113.436,   -75,-80.522,-31.620,-0.013
 4.835,     1, 1.786,-369.620, 0.015
-25.678,    -8,-7.478,792.880,-0.007
22.013,     5, 7.700,-104.742,-0.090
29.569,     8,14.286,-160.381,-0.001
16.199,     7,10.000,-227.180, 0.044
-20.122,    -9,-9.792,-369.320, 0.018
12.233,     7, 7.500,-74.495,-0.008
 2.278,     0,-2.222,-56.766,-0.114
-87.784,   -34,-43.535,1203.203,-0.450
-129.715,   -52,-59.115,-17.824,-0.524
-9.065,    -5,-7.643,102.347,-0.006
-68.490,   -21,-32.000,3049.593,-0.002
 5.416,    -1,-4.100,54.291, 0.122
-33.375,   -11,-12.549,-42.312,-0.067
-31.154,   -11,-11.902,1960.416, 0.109
-110.782,   -30,-29.944,1735.482,-0.011
-23.186,    -9,-10.400,2118.110,-0.423
-19.462,    -5,-4.758,-39.913,-0.024
-54.444,   -15,-29.958,16319.389,-0.710
-47.341,   -13,-26.818,7689.344,-0.370
-15.359,    -7,-15.500,66.440,-0.020
-25.926,    -9,-16.667,270.581,-0.003
14.174,    -3,-14.833,-22.677, 0.005
-113.779,   -52,-66.115,12.543,-0.426
-77.964,   -17,-28.846,7689.344,-0.018
-82.344,   -25,-37.853,16319.389,-0.481
83.889,    29,32.829,-3405.952,-0.010
37.842,    17,23.495,885.856, 0.489
67.671,    24,24.283,-3006.758, 0.623
77.938,    29,35.995,39.476, 0.851
-1.127,    12,18.611,-1180.532, 0.096
53.192,    15,17.779,-3429.022,-0.010
73.457,    25,25.929,-2743.358, 0.025
72.048,    29,41.329,-2620.863,-0.009
61.875,    26,29.940,-3368.278, 0.541
58.661,    22,27.905,265.073, 0.045
-111.456,   -31,-44.922,7915.045, 0.015
-42.102,    -9,-21.200,4587.614,-0.444
-122.910,   -20,-34.400,7616.697,-0.040
-23.939,    -6,-16.556,2663.318,-0.442
-79.089,   -41,-56.462,3099.208,-0.947
-40.958,    -8,-8.105,2372.427,-0.579
-39.870,   -15,-17.117,3012.024,-0.025
-23.601,   -11,-7.683,-62.039,-0.321
-49.167,   -17,-17.905,3096.334,-0.588
60.807,    13,24.958,-8398.446,-0.080
56.647,    10,12.292,-7688.674, 0.016
-23.660,    -6,-2.393,-608.495,-0.378
12.053,     2, 3.583,-875.087, 0.038
 7.461,    -5,-3.000,-2105.852, 0.026
10.578,    -7,-7.129,-2032.248, 0.024
-63.830,   -24,-27.782,-944.484,-0.189
-37.685,    -6,-6.962,-1062.208,-0.181
-53.202,   -23,-29.886,-86.761,-0.015
-2.323,    -2,-4.175,34.400, 0.049
-55.433,   -13,-19.436,156.511,-0.778
-37.140,   -17,-23.077,66.930, 0.003
-0.542,    -2,-8.619,164.155, 0.039
97.244,    22,27.462,-9532.460, 0.013
86.283,    17,27.073,-15059.083, 0.644
30.775,     0, 4.385,-15283.244, 0.487
102.425,    24,24.962,-3469.270, 0.689
90.949,    19,27.676,-15628.554, 0.670
95.164,    15,21.234,-9468.390, 0.544
95.947,    23,32.295,-9529.131, 0.922
76.368,    14,21.712,-15049.941, 0.661
82.146,    17,23.628,-15658.443, 0.821
51.729,     8,14.462,-15645.487, 0.398
-100.770,   -23,-31.153,-267.192,-0.034
-75.473,   -34,-47.345,6487.819,-0.003
-14.846,    -6,-12.036,-523.441,-0.088
-33.750,   -18,-26.442,-531.367, 0.035
-13.178,    -3,-6.523,-370.534,-0.140
-21.244,   -11,-21.671, 3.691, 0.043
-0.352,    -3,-5.977,-173.773, 0.026
-171.076,   -64,-76.458,6702.000,-0.853
10.783,     5, 4.667,-14.761, 0.135
 9.420,     6, 5.250,1048.326,-0.217
15.531,     6, 6.375,1790.345,-0.091
-1.514,    -4,-0.389,1796.703,-0.041
-49.285,   -21,-16.829,476.910,-0.711
-99.673,   -30,-30.682,1202.163,-0.665
-8.019,    -5, 0.158,113.629,-0.295
-7.105,     1,12.077,815.014, 0.004
-37.074,    -5,-2.053,1201.314,-0.015
20.100,     8,26.333,-33.878, 0.394
 1.094,     1, 7.923,113.629,-0.001
 9.617,     6,12.125,1194.957,-0.265
-5.138,    -4,-6.406,492.351,-0.268
-36.057,    -8,-13.220,3768.664,-0.602
-29.526,   -16,-16.051,72.665,-0.464
-47.724,   -14,-16.713,3771.529,-0.447
12.769,     4, 5.156,100.700, 0.238
-29.041,   -11,-16.545,3774.029,-0.340
-45.820,   -20,-20.370,3806.737,-0.334
-7.693,    -4,-4.339, 2.386,-0.055
20.403,     4, 7.727, 3.733, 0.366
 3.815,     0, 2.000,33.952, 0.152
-16.626,    -6,-9.529,-4362.884, 0.243
-40.283,   -11,-14.273,-1809.396,-0.149
-4.527,    -5,-8.875,-3980.728, 0.113
-54.743,   -12,-12.217,-3836.863, 0.006
-7.942,     1, 1.000,-4390.436, 0.164
41.814,    12,12.564,-1287.393, 0.767
-13.121,   -15,-17.608,-3096.710,-0.226
 0.610,    -4,-7.014,-2536.557, 0.120
29.562,     9, 7.121,-4120.911, 0.606
45.323,     7, 4.338,-4021.588, 0.594
15.460,     7, 7.504,-3354.226, 0.206
-1.065,    -1,-3.429,-460.071, 0.012
-8.494,     2, 2.033,1460.812,-0.300
 0.813,     0,-2.417,1904.918,-0.060
-0.853,    -6,-6.500,-32.082, 0.143
-81.380,   -31,-33.202,3870.312,-0.631
 7.821,    -4,-3.729,-230.791, 0.259
-47.493,    -5,-7.549,2716.718,-0.509
-1.002,     1,-2.394,1560.942,-0.009
-49.836,   -11,-10.449,3984.353,-0.314
-1.001,    -4,-1.778,-5163.791, 0.017
 4.001,    -7,-9.558,-1187.908, 0.030
-16.441,    -7,-6.825,-1187.908, 0.025
12.810,     5, 6.394,-582.247, 0.589
 2.591,     1, 1.769,-237.376, 0.126
-36.527,    -9,-7.095,484.556,-0.038
11.955,     5,10.200,-211.230, 0.010
 8.865,     4, 3.467,-98.039,-0.140
-0.449,     3, 8.371,-205.885,-0.091
-31.509,   -12,-13.109,-219.000,-0.062
-1.360,     2, 6.300,22.336,-0.076
-79.485,   -29,-30.379,592.073, 0.027
-56.856,   -19,-22.028,221.351,-0.032
-74.007,   -23,-23.200,69.572, 0.004
 4.036,     0, 2.889,-6707.266, 0.029
33.272,     8,15.822,-7056.968, 0.021
57.541,    12, 8.389,-2448.694, 0.791
-8.340,    -1, 2.722,-1491.342,-0.264
19.186,     2, 4.097,-4326.452,-0.050
-7.774,    -4,-10.532,-75.324,-0.064
-27.676,   -10,-21.538,2408.850,-0.025
-59.471,   -24,-33.811,2393.335, 0.002
-18.227,   -11,-19.714,-76.395,-0.006
-76.976,   -37,-49.510,3173.401, 0.024
-40.603,   -26,-36.048,-61.862,-0.014
-106.443,   -35,-39.913,12544.119,-0.011
-23.838,    -2,-7.365,4831.309,-0.231
38.851,    11, 9.196,-551.625, 0.007
38.941,    11,21.029,-162.242, 0.518
38.761,    11,16.029,-495.468, 0.002
19.788,    11,28.196,1205.691, 0.209
-38.117,    -6,-2.688,1072.449,-0.331
-41.015,    -6,-8.079,4831.309,-0.012
-181.406,   -78,-83.334,12838.984,-0.015
37.142,    13,18.279,-462.748, 0.063
10.567,     7, 5.329,133.471, 0.035
-90.727,   -23,-27.096,2610.622, 0.004
-27.436,   -17,-21.399,2951.178,-0.058
-54.633,    -9,-10.033,-214.260,-0.856
-16.926,   -12,-13.556,2951.178,-0.016
-15.549,    -6,-4.917,-235.249,-0.108
-24.420,   -13,-18.307,929.451,-0.107
-105.459,   -26,-28.771,-86.547,-0.897
-34.304,    -5, 0.633,157.730, 0.030
-33.412,   -14,-13.333,724.472, 0.011
-27.717,    -6,-2.625,794.308,-0.126
-61.122,   -23,-23.773,89.901, 0.006
 2.318,     5, 9.300,39.858, 0.111
-5.615,    -3,-2.192,116.283, 0.058
-45.779,   -19,-18.914,84.207,-0.068
-99.568,   -42,-50.365,2481.620,-0.635
-54.894,   -13,-18.506,1950.128,-0.571
-20.497,    -2,-5.325,2463.797, 0.065
-2.440,     1,-7.696,1411.926,-0.165
-22.080,    -4,-12.125,4252.770,-0.075
-63.836,   -25,-31.095,3339.663,-0.667
-52.438,   -11,-16.346,6048.165,-0.423
22.958,     5, 4.154,-1011.648, 0.153
-13.363,   -11,-15.638,-888.223,-0.015
-116.074,   -53,-60.786,29382.983,-0.768
18.992,     5, 1.654,-204.761,-0.030
-89.566,   -41,-48.365,29382.983,-0.050
-75.219,   -32,-39.713,5879.294,-0.571
-12.536,    -9,-10.839,-562.349, 0.056
70.387,    12,16.170,-3114.214, 0.048
-17.134,   -23,-23.203,-2960.447, 0.030
76.974,    11,12.912,-3696.646, 0.102
106.814,    19,20.662,-25.258,-0.004
62.784,    13,15.180,-4832.072,-0.006
77.355,    17,30.437,-1039.552, 0.072
87.885,    14,16.652,-62.819, 0.418
51.443,    15,24.287,-3514.352, 0.042
52.280,     9,12.759,41.224,-0.073
62.636,    11,11.537,-6310.632, 0.046
69.954,    16,23.673,-3705.512, 0.009
19.810,     2, 4.523,64.372, 0.027
 4.513,     8, 8.416,4418.307,-0.038
 3.147,     6, 1.273,1360.539,-0.071
35.756,     6, 5.398,-499.594, 0.360
18.171,    11, 9.818,4719.928, 0.026
47.837,    13,17.384,-399.142,-0.022
-33.096,   -20,-24.823,6756.241,-0.199
-157.749,   -73,-78.590,10289.968,-0.697
20.566,    12,18.873,2316.156,-0.045
51.210,    16,37.273,456.922,-0.023
29.199,    11,16.000,-503.137, 0.190
42.306,    10, 7.606,-75.309, 0.409
-128.699,   -50,-53.936,10289.968,-0.496
66.584,    15,11.416,-571.661, 0.004
-88.336,   -18,-24.983,10696.513,-0.930
-45.870,    -8,-9.143,10688.961,-0.387
-45.130,   -17,-21.226,-175.707,-0.924
-48.278,   -18,-23.863,2416.579,-0.049
-63.432,   -18,-22.823,6396.828,-0.441
-102.979,   -18,-16.897,6586.189,-0.522
-10.621,    -2, 0.365,-114.918, 0.045
-35.970,    -7,-9.357,4128.080,-0.014
-86.095,   -25,-27.795,51.428,-0.396
-103.973,   -39,-43.118,6492.079,-0.658
17.964,     5, 5.353,-3692.941,-0.024
47.496,    13,20.544,-2330.934,-0.042
46.712,     8,11.483,-3817.059,-0.019
27.916,     7,11.961,-3213.710, 0.039
17.144,     4, 2.792,-324.580,-0.061
-19.024,    -9,-10.881,-428.774,-0.061
-69.847,   -32,-32.902,6933.038,-0.605
-36.767,   -13,-19.633,1496.010,-0.590
-102.477,   -27,-31.910,3475.367,-0.023
-76.274,   -36,-41.383,2330.934,-0.472
-68.366,   -31,-32.898,3958.976, 0.003
-33.106,    -8,-7.552,3942.954, 0.012
-0.164,     0,-4.071,1122.655,-0.261
23.107,     6, 4.232,874.530,-0.010
20.607,     8, 8.190,1093.356,-0.090
 4.806,     2, 3.440,-75.152,-0.025
29.531,     8,15.190,50.548,-0.006
-102.722,   -24,-29.090,3667.601, 0.010
-29.565,    -1,-2.476,3548.769, 0.005
32.750,     8, 9.524,-182.248,-0.001
39.085,     8,14.458,-16247.180, 0.011
97.839,    19,28.558,-7460.711, 0.881
28.518,     6,13.292,-16319.389, 0.005
72.659,    15,20.736,-16424.289, 0.024
85.635,    18,29.792,-7461.796, 0.015
96.695,    21,35.958,-7519.882, 0.020
95.483,    19,19.358,-5394.262, 0.054
27.224,     4, 7.408,-16131.426, 0.003
96.695,    18,23.292,-5483.322, 0.018
20.707,     5,10.695,-16477.844, 0.385
94.117,    17,19.101,-5501.140, 0.837
59.020,    13,14.152,-7149.368, 0.022
56.588,    12,20.418,-6763.457, 0.537
-22.023,   -13,-18.640,882.347,-0.679
-22.243,    -8,-9.866,-416.014,-0.423
10.087,     1, 4.418,-417.636, 0.617
14.656,     5, 0.652, 6.513, 0.193
-19.033,     1,-4.382,882.347,-0.426
16.213,     3, 6.693,-441.080, 0.372
-60.283,   -12,-19.704,15535.454,-0.696
-184.897,   -74,-80.676,15537.076,-0.816
-11.528,    -7,-9.515,1143.989,-0.121
-31.685,   -12,-21.391,61.471,-0.227
-8.608,    -6,-15.670,-15.870,-0.453
-45.049,    -5,-8.036,47.401,-0.424
-133.034,   -59,-73.225,33.852,-0.845
-75.630,   -22,-32.975,33.852,-0.039
-59.987,   -30,-42.394,95.821,-0.768
33.157,    19,23.683,-425.649, 0.446
46.628,    25,26.946,-3312.437, 0.284
-16.940,     4, 5.554,-3757.803,-0.122
29.041,    16,19.062,-794.855, 0.003
-10.364,     2, 3.275,-804.973,-0.195
42.011,    20,20.875,-740.601, 0.706
 6.865,    10,11.330,-808.424, 0.059
-4.220,    -3,-2.311,169.736,-0.424
-13.799,    10,12.784,-3717.359, 0.002
51.612,    24,28.125,-593.042, 0.020
55.747,    25,30.661,-1415.671,-0.048
-85.399,   -38,-50.327,19920.856,-0.452
-46.595,   -18,-25.651,-191.149,-0.132
-46.065,   -10,-15.395,154.392,-0.500
-114.015,   -31,-41.914,20132.411,-0.039
-101.540,   -30,-42.193,8878.508,-0.524
-27.400,   -12,-9.008,-1363.298, 0.104
 8.691,     2, 3.127,-20.351, 0.039
-112.167,   -41,-48.684,328.841, 0.018
-58.025,   -18,-27.444,11682.967,-0.032
-83.383,   -30,-40.214,11628.773,-0.726
-2.095,    -4,-8.214,175.387,-0.017
-35.882,    -8,-19.209,1991.487, 0.007
-60.063,   -20,-21.946,-1226.166,-0.588
-56.922,   -14,-14.716,-1610.906,-0.494
 5.246,    -1, 3.133,-587.569, 0.046
-71.682,   -21,-18.985,2121.749, 0.017
-19.573,    -5,-5.200,1122.782, 0.003
-50.141,    -4,-2.711,2851.685,-0.739
-20.754,    -6,-4.782,54.710,-0.576
-1.056,     6, 4.600,3943.368,-0.021
-1.596,    -2,-4.101,-52.049, 0.062
19.054,    11,10.233,1259.852, 0.375
-2.691,     7, 5.833,3150.857, 0.021
-27.077,     0, 3.714,126.328, 0.008
24.182,    12,14.000,66.186,-0.000
-18.328,    -1,-5.212,3150.857, 0.004
-33.537,    -2, 1.812,10.653, 0.014
19.144,     9, 7.583, 1.881, 0.039
38.751,    14,15.762,-111.467,-0.033
-12.268,     0,-1.429,1496.440,-0.026
-2.058,     3, 4.222,35.828,-0.054
 0.979,     7, 5.333,989.191, 0.008
23.405,    12,15.556,-58.937,-0.028
-14.399,    -1,-1.803, 4.752,-0.084
 8.748,     9, 9.500,31.375,-0.145
-18.785,    -4,-5.027,201.104, 0.025
23.984,     7, 5.119,34.736, 0.636
19.252,    12,12.222,-6.214, 0.030
-0.540,    -8,-8.701,44.899, 0.171
-20.713,   -15,-12.667,-3861.781,-0.100
-26.021,    -6,-0.886,-3978.816,-0.111
32.627,     7,12.358,-3968.314, 0.001
39.807,     8,11.162,-1630.209, 0.668
-17.729,   -10,-9.627,-3676.229,-0.261
-42.029,    -6,-12.333,7755.403, 0.137
-89.138,   -27,-32.100,3722.074, 0.089
-57.887,   -16,-21.892,-1.963,-0.029
-62.876,   -24,-25.647,1547.227,-0.740
-188.661,   -51,-58.109,5627.949,-0.021
11.749,     3,-1.818,-157.286, 0.089
-20.695,    -2, 3.259,1740.342,-0.284
-3.210,     4, 9.896,-336.647,-0.052
-50.664,    -8,-10.871,5627.949,-0.038
-72.824,   -28,-32.998,1509.039,-0.576
-35.699,    -7,-17.333,2226.949,-0.114
-84.838,   -17,-21.046,275.622, 0.006
-49.517,   -15,-22.764,307.349,-0.199
-33.138,    -2,-2.205,268.756,-0.282
-15.969,    -4,-8.865,3314.864, 0.037
32.078,     7,-2.143, 5.978,-0.015
17.001,     2,-3.893,-1.043, 0.100
-57.555,    -9,-14.795,3314.864, 0.005
-155.144,   -58,-66.351,14463.128,-0.678
-7.223,    -3,-10.202,-82.801,-0.027
64.032,    10,12.286,-5438.325,-0.002
33.519,     1, 3.022,-2527.910,-0.005
81.210,    14,18.200,-2406.474,-0.003
