gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
19.790,     6,15.000,-0.519,-0.003
-76.085,   -24,-26.486,-53.803,-0.523
18.919,     3, 9.750,17.389, 0.565
 7.491,    -2,-1.077,-52.896, 0.007
 7.435,    -1, 2.500,-5.566, 0.167
-52.875,   -25,-32.232,172.932, 0.029
-48.865,   -14,-19.286,146.062, 0.002
-1.677,    -4,-6.312,-203.409,-0.120
-63.239,   -23,-28.957,509.670, 0.057
-57.095,   -28,-34.543,172.932, 0.041
-8.737,    -6,-12.549,718.150,-0.351
-7.241,    -5,-6.625,-2348.937, 0.001
-20.832,    -6,-5.613,998.837,-0.188
-35.693,   -20,-21.767,1823.248,-0.325
-20.458,   -11,-9.729,3031.098,-0.247
10.234,     0, 1.400,110.140, 0.373
-42.883,   -11,-10.157,1582.432,-0.259
-5.907,    -4, 2.414,793.604, 0.112
-0.180,     2, 1.575,541.424,-0.020
-16.238,    -7,-7.182,1495.972,-0.177
-23.822,    -5,-3.500,-99.612,-0.150
-19.364,    -1, 5.518,3017.119, 0.106
-59.632,   -23,-38.519,-79.741,-0.073
-51.005,   -11,-22.119,10770.905,-0.038
-41.501,   -15,-24.513,-570.156, 0.008
-88.162,   -34,-51.725,10770.905,-0.014
-95.651,   -35,-50.452,7545.329,-0.045
32.973,     9,13.564,-1150.108, 0.048
15.668,     5,10.133,-1302.874, 0.026
10.705,     2, 5.811,-1248.265,-0.045
12.358,     2, 6.400,-1528.535,-0.076
40.176,     1, 5.273,-5182.066, 0.444
23.019,     0, 0.375,-2084.961,-0.086
-47.365,   -21,-26.789,-1892.367, 0.042
-10.878,    -8,-11.026,-2170.970, 0.116
-1.946,    -3,-2.306,-2153.763, 0.034
31.450,    -1,-8.456,-2132.510, 0.036
 8.930,    -1,-17.231,-872.549, 0.305
-101.868,   -77,-94.753,1637.658,-0.548
-40.355,   -22,-34.059,1442.481,-0.565
-166.141,   -49,-66.521,4321.854,-0.726
-90.743,   -31,-47.913,4321.854,-0.558
 1.825,     0,-5.154,1347.448, 0.021
-166.103,   -72,-89.725,1442.481,-0.654
28.298,    10, 1.103,-801.385, 0.866
-50.303,   -26,-41.410,1116.145,-0.388
 2.699,    10, 8.421,2978.912,-0.025
21.911,     8,11.293,-2681.784,-0.020
13.892,    12,12.768,-3685.209,-0.052
51.258,    21,29.143,-3671.468,-0.100
-73.718,   -62,-67.379,490.295, 0.101
49.501,    21,29.143,-3667.075,-0.034
-62.593,   -16,-20.539,-2199.821,-0.135
52.288,    19,30.365,-2942.812, 0.019
-137.954,   -57,-62.351,-1495.981,-0.007
-5.955,     4,-0.815,2978.912,-0.037
-13.022,     0,-1.833,1980.003,-0.012
-40.205,   -10,-8.312,4158.710,-0.456
-124.640,   -38,-40.682,8857.608,-0.857
-24.611,    -5,-0.545,5024.080,-0.452
-68.001,   -18,-20.958,8879.889,-0.846
-10.947,    -1,-2.714,992.059,-0.226
-75.428,   -21,-18.727,-4012.684, 0.007
 3.360,     7,10.431, 4.315, 0.005
