,A_an4,fMs_an4,avg_FabsavgH_an4,C_an4,CnnC_an4,A_diff,fMs_diff,avg_FabsavgH_diff,C_diff,CnnC_diff,nnG_favg_diff,nnG_fmax_diff,da_len_w_an4_l,da_len_w_an4_r,da_len_w_an4_opp,da_len_w_diff_l,da_len_w_diff_r,da_len_w_diff_opp,rfvect_disttwin_an4
299,100.379,6.16,0.061,8.0,0.929,-57.645,4.442,-0.077,-3.0,-2.179,-0.667,-3.0,130.796,96.853,104.607,-21.733,50.733,3.004,0.256
300,223.235,8.888,0.04,10.0,3.667,35.271,7.384,0.209,-5.0,-4.042,-1.25,-6.0,117.741,119.767,112.075,14.656,-7.162,-4.814,0.272
301,571.959,23.024,0.04,5.0,-4.4,-32.645,-1.781,0.055,2.0,4.757,-0.143,3.0,120.884,102.641,136.475,-13.185,30.29,-17.106,0.324
302,514.638,21.167,0.041,3.0,-1.667,160.424,2.984,0.019,2.0,0.467,-0.2,-6.0,126.516,124.966,108.519,1.38,-1.911,1.437,0.243
304,629.999,13.122,0.021,9.0,2.214,-79.024,6.639,-0.084,-4.0,-2.214,-0.111,3.0,142.321,96.626,123.872,4.944,-3.35,-4.414,0.353
305,974.885,23.072,0.024,5.0,-1.4,0.75,-2.815,-3.755,2.0,4.233,0.857,3.0,96.465,128.6,133.701,-2.668,11.212,-7.142,0.001
306,10.699,1.972,0.184,7.0,0.8,27.446,4.322,0.157,-3.0,-2.133,0.571,3.0,101.937,152.426,105.636,24.195,-29.708,14.954,0.352
307,62.214,11.693,0.188,6.0,-3.5,-60.637,-11.693,0.193,-5.0,1.5,-1.0,-3.0,139.684,101.022,115.734,0.247,24.604,-21.292,0.276
308,1872.544,53.278,0.028,4.0,-3.5,-697.762,-21.017,0.03,8.0,5.5,-1.0,-3.0,111.813,115.654,111.994,12.561,16.065,-10.717,0.494
309,334.521,14.463,0.043,4.0,-2.75,70.846,0.536,0.008,4.0,0.667,-0.5,-6.0,110.159,128.123,121.718,5.834,-22.969,-2.08,0.083
310,167.036,5.378,0.032,5.0,-1.625,-93.306,-0.814,0.009,0.0,-2.125,-1.333,-5.0,114.252,117.156,128.592,-5.418,11.754,-6.337,0.278
311,111.917,0.0,0.0,4.0,-3.25,-26.162,0.0,-0.0,3.0,1.875,-2.833,-9.0,168.073,101.194,111.521,-45.53,43.541,-23.515,0.433
312,1625.251,71.136,0.044,6.0,-2.0,-365.797,-20.95,0.057,1.0,-0.125,-2.0,-5.0,96.134,129.631,139.742,2.989,-5.391,-5.391,0.001
313,3455.824,99.025,0.029,8.0,1.25,-817.576,-18.033,0.022,1.0,0.679,-1.0,-5.0,117.371,110.871,127.535,-5.402,6.018,1.128,0.175
314,787.805,76.588,0.097,9.0,3.857,29.759,15.967,0.537,1.0,-2.157,-0.778,-3.0,104.351,95.022,160.627,4.424,1.229,-5.653,0.112
315,16.864,0.0,0.0,14.0,7.889,-11.654,0.653,-0.056,-8.0,-10.889,-1.636,-9.0,102.227,109.016,148.757,43.947,29.016,-72.963,0.416
316,804.662,29.288,0.036,3.0,-8.0,-61.806,-8.588,0.139,7.0,11.429,-1.75,-5.0,119.475,141.608,110.648,7.038,-12.104,-6.665,0.471
317,97.176,6.487,0.067,4.0,-3.125,-27.07,-1.779,0.066,-1.0,-0.042,0.167,2.0,113.532,129.766,127.419,-8.188,-0.724,-4.736,0.281
318,127.041,6.506,0.051,4.0,-1.125,-67.544,-1.581,0.023,-1.0,-4.208,-0.5,-2.0,134.488,118.404,103.249,5.068,10.352,-11.56,0.353
319,737.802,36.223,0.049,7.0,-0.7,75.749,-6.013,-0.079,1.0,1.7,-0.571,-5.0,116.513,127.952,99.676,10.502,11.676,-1.444,0.432
