gsize_diff_an4 ,gf_diff_an4, g_itgcurv_diff_an4, face_itgcurv_an4_left, face_area_an4_m_an5, fnnf_maxdec_r_m_l, fnnf_avgdec_r_m_l, move_left
132.383, 49.000, 1674.033, -2.454, -57.804, 431.920, 1184.106,      1
199.680, 86.000, 2299.498, 57.043, 43.359, 304.923, 1101.880,      1
39.163, 13.000, 410.530,  8.366, 171.265, 304.923, 152.677,      1
35.729, 11.000, 258.055, -21.781, 72.256, 12.367, 26.723,      0
34.032, 12.000, -29.455, 33.582, 59.104, 240.929, 224.791,      1
10.787,  3.000, 49.957, -20.264, 258.857, 46.663, -76.904,      1
-14.600, -4.000, 127.110, -2.806, 15.682, 370.957, 219.483,     -1
91.636, 43.000, 1292.876, 68.701,  0.235, 307.416, 76.641,      1
111.718, 39.000, 1646.461, 124.387, 442.550, -81.676, 197.516,      1
10.360, -2.000, 189.470, 50.098, 65.741, 64.539, 764.261,      1
13.157,  5.000, 215.985, 26.174, 314.211, 293.459, 255.865,      1
33.286,  1.000, 295.860, -0.924, 205.556, 239.130, 940.621,      1
35.671, 18.000, 370.073, -23.785, -6.394, 188.511, 34.635,      1
-11.737, -5.000, 27.666, -33.330, -77.624, 303.996, 197.263,     -1
11.736,  5.000, 314.601, -6.859, 78.363, 339.676, 206.343,      1
-4.498, -12.000, -279.964, 34.093, -66.357, -105.522, 10.634,      1
-31.978, -14.000, -179.410,  0.465, -155.241, 116.593,  9.413,     -1
-58.553, -24.000, -595.739, -50.630, -30.431, -20.999, -97.856,     -1
-3.568,  2.000, -504.624, -79.439, -236.816, -3000.793, -495.266,      1
-56.708, -23.000, -535.465, -14.791, -48.466, -506.915, -74.827,     -1
-12.460, -3.000, 516.015, 12.157, -89.744, -56.344, -22.142,      0
-67.117, -24.000, -485.258, -7.715, -22.289, 62.290, -24.807,     -1
-0.855, -5.000, -77.774, -19.963, 40.088, 155.392, 42.143,      1
88.234, 14.000, 1271.402, -3.644, 83.978, -142.751, 182.293,      1
-6.569, -8.000, -290.513, -31.568,  6.641, -31.711, -51.271,      1
-64.873, -21.000, -448.859,  0.383, 312.886, -197.314, -161.831,     -1
64.308, 15.000, 536.500,  3.328, 117.703, -5995.755, -257.089,      1
28.851, 14.000, 1407.373, -15.108, -108.602, -3000.793, -740.810,      1
-53.143, -17.000, -464.133,  6.649, -55.112, 220.316, -14.189,     -1
-10.113, -5.000, -79.641, -6.062, -37.248, -56.344, -48.347,     -1
-71.759, -24.000, -476.903, -74.531, -34.167, 223.903, 87.046,      0
-18.771, -8.000, -184.149, -12.353, -1.021, 130.814, 77.617,     -1
-42.349, -20.000, -619.422, -32.806, 61.851, 210.373, 324.583,     -1
-10.642, -13.000, -162.450,  7.483, -79.118, -574.404, -29.853,     -1
57.307,  8.000, 311.826, -9.108, -2.924, -695.629, -276.159,      1
-35.073, -15.000, -798.147,  1.218, 27.556, -88.716, -88.447,     -1
-31.572, -15.000, -444.478, -5.001,  9.386, -68.169, -127.650,      1
44.832,  7.000, 139.149, 16.365, -77.446, -48.393, 291.997,      1
67.260, 13.000, -6.705, -1.937, 24.276, -165.131, 151.953,      1
81.892, 29.000, 784.395,  2.725, 42.857, -490.600, 80.673,      1
34.150,  7.000, -44.357, -2.158, 16.919, -306.454, -209.938,      1
46.527,  7.000, -130.569, -61.624, 38.119, -306.454, 22.073,      1
39.749, 25.000, 125.877, 20.815, 71.299, 32.002, 91.731,      1
21.370,  6.000, 262.438, 14.489, -101.764, 92.973, 67.367,      1
-4.200, -2.000, -206.705, -11.880, 119.620, -16.319, -5.793,     -1
-5.205, -4.000, -153.891, -25.102, 289.266, -275.626, -148.470,      1
40.889, 17.000, 957.863, 58.684, 41.486, -310.971, -14.936,     -1
12.402,  6.000,  4.391,  5.247,  6.113, 109.468, 179.531,      0
-0.568,  2.000, -34.593, -0.539, 17.141, 52.879, 62.174,     -1
 0.205,  3.000, -22.285, -70.716, -29.187, 242.934, 160.076,     -1
43.235, 15.000, 362.206, 80.248, 58.259, -79.964, 54.002,      1
13.642,  2.000, 196.903, 35.734, -115.021, -64.333, -46.033,     -1
-10.555,  1.000, 64.902, -11.703, 48.271, -48.336, -38.804,     -1
13.890, 12.000, 72.345, -40.866, -60.758, -71.682, -32.922,      1
-25.298, -4.000, -6.435, -14.432, -58.048, 57.346,  5.703,      0
34.063, 19.000, 336.477,  3.842, -92.818, -137.124, -76.560,      1
21.757,  7.000, 35.680, 110.948, -151.313, -129.776, -40.725,      1
-19.790, -6.000, 63.540, -17.486, 13.016,  0.519, -40.046,      0
76.085, 24.000, 678.587,  0.517, -67.654, 53.803,  3.280,      1
-18.919, -3.000, -13.784,  6.376, -17.171, -17.389, -26.830,     -1
-7.491,  2.000, -27.670, -3.698, -13.755, 52.896, 18.968,      0
-7.435,  1.000, -57.937, -12.610, -33.533,  5.566, -52.327,     -1
52.875, 25.000, 464.299, 37.469, -229.998, -172.932, -160.368,     -1
48.865, 14.000, 19.938, -3.063, -170.711, -146.062, -105.561,      0
