move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, -3.407,  0.000,  3.667, -180.298, -41.268, 1037.767, 206.704, -5.915, 26.945 
     1, 17.098,  5.000,  1.750, 257.739, 19.404, 964.323, 43.363, 233.133, 44.937 
    -1, -20.542, -6.000, -6.667, -190.807, -29.487, 1636.263, 209.529, 230.673, 56.921 
    -1, -6.826,  7.000,  8.364, -33.768, 11.608, -66.178, 81.909, 55.113, 71.707 
     1, 70.005, 27.000, 31.095, 439.258, 13.112, -184.438, -311.765, 100.987, 618.810 
     1, 54.409, 23.000, 25.026, 367.205, -0.519, -57.254, -241.556, 130.549, 117.334 
     1, -11.262, -5.000, -4.000, -35.017,  2.125, 1293.133, 261.470, 300.621, 38.420 
     1,  7.709, -4.000, -9.727, 136.306,  7.231, -125.600, 365.986, 135.021, 113.718 
    -1, -5.397, -3.000, -1.333, 33.027, 41.874, 1050.435, 58.333, 305.653, 20.997 
     0, 15.775,  4.000,  5.421, -609.047, -20.640, -87.200, -166.033, -101.179, 389.502 
    -1, 54.520, 15.000, 13.260, -506.157, -6.237, 61.372, 102.092, -152.749, -19.253 
     1, 93.489, 22.000, 21.037, 163.847, -0.838, 128.372, 159.562, -7.251, 2377.612 
    -1, 55.344, 18.000, 16.007, 378.738, -4.464, -2267.842, -607.538, -230.193, -52.495 
    -1, 29.665,  3.000, -1.901, -181.992,  3.759, -85.866, -134.048, 40.387, 49.525 
    -1, -21.898, -10.000, -15.875, -229.907,  5.554, -6.078, -57.214, -149.547,  8.819 
     1, 47.813, 13.000, 22.975, 16.153, -6.369, -14.654, 127.293, 45.212, 95.053 
    -1,  5.498,  0.000,  0.222, -279.509, -10.789, 111.695, 15.983, 190.002, 109.738 
    -1, -25.152, -4.000,  5.511, -14.585, -10.430, 289.059, 147.601, 116.726, 37.814 
     1, 132.383, 49.000, 67.646, 1669.666, -2.454, 431.920, 1184.107, -270.489, -102.343 
     1, 199.680, 86.000, 104.974, 2299.398, 57.049, 304.924, 1101.881, -270.489, -156.557 
