A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
38.664, 81.323,  2.103,  6.000, -3.500, 147.730, -53.080, -0.359, -2.000,  0.250
1171.083, 40.776,  0.035,  4.000, -2.750, 86.153, 22.895,  0.266,  2.000,  2.750
866.800, 36.608,  0.042,  4.000, -6.250, -55.864,  1.511, -0.027,  2.000,  6.583
1293.457, 69.868,  0.054,  8.000,  1.750, 100.418, -20.239, -0.202,  1.000,  0.562
1742.057, 16.300,  0.009,  3.000,  0.000, 165.012, 21.249,  0.129,  4.000,  0.714
2035.347, 39.980,  0.020,  3.000, -5.500, -32.037, -1.209,  0.038,  4.000,  6.500
53.758,  5.985,  0.111, 11.000,  5.182, 45.409,  3.968,  0.087, -5.000, -6.582
1596.362, 104.002,  0.065,  5.000, -1.700, -21.809, -31.214,  1.431,  2.000,  3.033
1351.600, 38.559,  0.029,  5.000, -2.900, -10.913, 15.042, -1.378,  2.000,  4.186
1003.986, 37.995,  0.038,  5.000, -2.100, -48.061, -18.638,  0.388,  0.000,  1.500
606.783, 41.530,  0.068, 11.000,  3.611, -122.058, 79.427, -0.651, -5.000, -3.111
280.795, 30.621,  0.109,  8.000,  1.625, -46.697, 17.207, -0.368, -4.000, -3.875
73.340, 38.071,  0.519,  4.000, -1.875, -36.791, -27.575,  0.750, -3.000, -3.375
2805.719, 77.205,  0.028,  5.000, -2.100, -142.393, -31.440,  0.221,  2.000,  3.100
159.948, 19.428,  0.121,  9.000,  2.722, -25.087, -2.328,  0.093, -8.000, -9.722
715.479, 71.382,  0.100,  3.000, -4.333, -279.011, -5.105,  0.018,  4.000,  6.333
192.735, 13.427,  0.070,  9.000,  1.714, 51.366, 12.406,  0.242, -5.000, -5.089
 9.709,  0.000,  0.000,  7.000, -1.200,  5.915,  0.000,  0.000, -2.000, -1.133
572.737, 34.469,  0.060,  5.000, -3.167, -8.174, 11.888, -1.454,  2.000,  3.667
286.383, 35.186,  0.123,  5.000, -1.500, 58.802, -13.169, -0.224,  0.000, -0.375
1746.243, 101.144,  0.058,  7.000,  0.857, -143.857, -55.202,  0.384,  0.000,  0.071
356.553, 15.112,  0.042,  4.000, -2.875, -26.996, -1.819,  0.067,  1.000,  1.775
398.799, 101.039,  0.253,  6.000, -1.200, -42.659, -59.415,  1.393, -1.000,  0.400
 3.642,  0.000,  0.000,  4.000, -2.000,  3.343, 145.230, 43.436, -1.000, -1.500
103.337, 18.126,  0.175,  6.000,  0.500, -22.385, 67.390, -3.011, -2.000, -3.000
75.630, 10.884,  0.144,  6.000, -0.100, -2.657, -0.961,  0.362,  0.000,  0.600
191.656, 35.908,  0.187,  4.000, -0.875, 21.894, 80.230,  3.664,  1.000,  0.375
753.212, 48.403,  0.064,  2.000, -5.000, -70.923, -34.853,  0.491,  5.000,  6.143
427.885, 41.191,  0.096,  5.000, -0.875, 35.191, -18.842, -0.535,  1.000,  0.875
32.366, 12.351,  0.382,  6.000,  0.167, -1.162, -10.307,  8.872, -3.000, -5.333
65.870, 13.356,  0.203, 10.000,  2.833,  7.816, 20.260,  2.592, -3.000, -2.458
590.697, 102.504,  0.174,  4.000, -3.625, -41.665, -65.232,  1.566,  1.000,  4.825
133.142,  7.605,  0.057, 10.000,  3.400, -47.284, 22.696, -0.480, -7.000, -5.067
167.245, 16.707,  0.100,  8.000,  0.750, -16.419, 16.367, -0.997, -5.000, -2.917
365.747, 53.347,  0.146, 11.000,  2.400, -24.805, 12.383, -0.499, -8.000, -5.733
1768.913, 80.757,  0.046,  5.000, -2.167, 50.608, -10.352, -0.205,  1.000,  1.167
10.160,  4.360,  0.429,  9.000,  0.800, -2.737, -4.360,  1.593, -6.000, -8.300
1502.642, 41.231,  0.027,  6.000, -0.833, 99.848, 124.247,  1.244,  1.000,  0.433
332.922, 75.895,  0.228,  5.000, -1.600, -81.569, -30.531,  0.374,  4.000,  1.267
1053.340, 67.575,  0.064,  6.000, -0.900, 42.067, -23.300, -0.554,  1.000,  1.650
543.974, 60.770,  0.112,  6.000,  0.917, -0.562,  0.762, -1.357, -1.000, -4.917
1952.241, 90.582,  0.046,  6.000, -4.333, 112.060, 80.659,  0.720,  0.000,  4.250
25.417,  0.978,  0.038,  6.000, -1.083, 15.694, 23.068,  1.470, -2.000, -0.792
1284.217, 45.563,  0.035,  1.000, -4.500, -74.548, -4.175,  0.056,  4.000,  1.333
4679.420, 288.308,  0.062, 11.000,  4.944, -545.006, -30.712,  0.056, -6.000, -5.944
1051.275, 53.433,  0.051,  8.000,  1.250,  1.038, -7.846, -7.561, -4.000, -4.000
2475.530, 92.892,  0.038, 10.000,  4.000, 450.420, 28.597,  0.063, -1.000, -0.500
3213.377, 217.916,  0.068,  6.000, -2.500, -261.776, -64.494,  0.246,  4.000,  4.083
1663.666, 74.670,  0.045,  3.000, -7.833, -110.515, -37.477,  0.339,  3.000,  6.917
109.952,  6.210,  0.056,  5.000, -0.700, -31.145,  2.271, -0.073,  0.000, -0.600
6534.614, 244.319,  0.037,  1.000, -7.500, -102.317, -15.986,  0.156, 18.000, 19.950
71.011, 36.990,  0.521,  4.000, -5.667,  3.380, -22.508, -6.660, -1.000,  0.833
1425.263, 51.381,  0.036,  7.000,  1.500, -386.393, -1.597,  0.004,  0.000, -0.143
453.817, 28.417,  0.063,  7.000, -0.250, -112.930, -5.440,  0.048, -2.000, -1.550
833.861, 81.806,  0.098,  3.000, -2.833, -102.771, 25.562, -0.249,  4.000,  4.133
44.858, 31.149,  0.694,  7.000,  0.500, -12.279, -25.455,  2.073, -3.000, -3.625
1983.307, 224.492,  0.113,  7.000,  0.250, -537.781, -7.454,  0.014,  0.000,  0.950
788.859, 104.707,  0.133,  6.000, -1.625, -83.923, 36.223, -0.432, -1.000,  1.125
114.804,  5.960,  0.052,  4.000, -2.000, -95.960, -4.534,  0.047,  2.000,  1.333
388.869, 29.033,  0.075,  3.000, -5.000, -5.413, 10.268, -1.897,  7.000,  8.786
1028.085, 184.523,  0.179,  5.000, -1.333, 386.919, -155.064, -0.401,  3.000,  2.690
111.644, 42.333,  0.379,  7.000,  1.700, 30.754, -21.167, -0.688, -3.000, -3.700
319.144, 26.758,  0.084,  1.000, -1.000, -67.730, 14.864, -0.219,  7.000,  1.500
1885.383, 67.887,  0.036,  4.000, -2.000, -538.239, -0.077,  0.000,  3.000,  2.400
447.297, 50.707,  0.113,  8.000, -0.800, 77.645, -9.200, -0.118, -3.000, -1.100
452.837, 53.213,  0.118,  5.000, -4.667, -122.252, -15.956,  0.131,  0.000,  4.667
 4.443,  0.000,  0.000,  7.000,  0.500,  6.311, 13.191,  2.090, -4.000, -5.167
940.571, 56.287,  0.060,  8.000,  0.875, 77.839, -35.666, -0.458, -1.000, -4.375
1156.389, 97.164,  0.084,  5.000, -1.500, -325.929, -30.113,  0.092,  0.000,  0.000
343.644, 17.274,  0.050,  8.000,  2.000, 148.353,  2.498,  0.017, -3.000, -2.800
5721.382, 146.636,  0.026,  7.000, -0.100, 202.119, 82.866,  0.410,  7.000,  7.558
632.136, 22.539,  0.036,  5.000, -0.900, -17.266, -5.327,  0.309, -1.000, -3.475
533.925, 15.628,  0.029,  5.000, -0.700, 327.629, 131.165,  0.400,  0.000, -1.300
1768.078, 18.927,  0.011,  6.000,  0.833, 164.585, 12.569,  0.076,  3.000,  0.667
115.819, 27.934,  0.241,  3.000, -2.500, -44.772, -13.915,  0.311,  3.000,  0.500
121.471, 36.335,  0.299,  3.000, -4.500, -43.742, 64.102, -1.465,  1.000, -0.125
2343.593, 28.671,  0.012,  5.000, -1.900, -489.201,  3.673, -0.008,  5.000,  3.789
763.316, 45.215,  0.059,  4.000, -0.875, -15.926, 76.739, -4.818,  0.000, -1.250
218.654, 12.883,  0.059,  4.000, -3.750, -141.873, -6.524,  0.046, -1.000, -0.917
188.066, 21.869,  0.116,  4.000, -3.000, 96.350,  4.443,  0.046,  1.000,  2.400
1551.911, 63.732,  0.041,  9.000,  1.625, 381.673, -1.406, -0.004,  3.000,  3.312
4071.416, 147.173,  0.036,  5.000, -5.833, 290.851, -19.957, -0.069,  4.000,  7.905
335.686, 25.620,  0.076, 10.000,  2.250, -55.464,  7.712, -0.139, -2.000, -1.650
1885.290, 30.166,  0.016,  6.000, -0.375, 395.399,  5.567,  0.014,  3.000,  2.688
20.000,  0.000,  0.000,  9.000,  1.333, 113.707, 10.896,  0.096, -6.000, -6.500
606.586, 45.677,  0.075,  9.000,  1.200, 137.071,  5.533,  0.040, -5.000, -3.575
294.718,  5.251,  0.018,  4.000, -2.667, -47.360,  2.044, -0.043,  2.000,  3.292
1287.651, 119.526,  0.093,  5.000, -2.167, 104.972, 40.302,  0.384,  4.000,  4.333
719.671, 69.276,  0.096, 12.000,  6.100, 164.121, 18.427,  0.112, -6.000, -5.350
910.452, 59.528,  0.065,  3.000, -2.333, -10.215, -6.293,  0.616,  6.000,  5.433
488.615, 24.921,  0.051,  4.000, -3.000, -203.923, 19.774, -0.097,  1.000,  0.833
1952.674, 90.986,  0.047,  6.000, -3.167, 141.101, 13.762,  0.098,  0.000,  2.583
11621.225, 197.955,  0.017,  4.000, -1.625, 506.022, -28.777, -0.057, 10.000,  9.482
587.167, 33.922,  0.058,  6.000,  1.167, -254.842, -25.407,  0.100,  1.000, -2.167
3193.930, 68.968,  0.022,  5.000, -0.200, -111.491, -14.438,  0.129,  4.000,  2.422
201.642,  4.891,  0.024,  4.000, -4.125, -38.994,  6.395, -0.164,  0.000,  0.375
1578.475, 57.295,  0.036,  7.000, -4.667, 199.057, 51.735,  0.260,  5.000,  9.542
1469.958, 71.476,  0.049,  6.000, -0.500, 44.777, 22.115,  0.494,  0.000, -0.750
1871.734, 57.786,  0.031,  7.000, -2.625, -170.034, -13.202,  0.078, -1.000,  1.792
123.932, 35.487,  0.286,  4.000, -2.625, 64.778, 44.172,  0.682,  0.000, -0.875
2010.144, 99.797,  0.050,  7.000, -1.000, -19.335, 59.775, -3.092,  0.000,  1.286
119.640, 61.959,  0.518,  9.000,  0.700,  6.827, -55.812, -8.175, -5.000, -3.075
125.173, 60.993,  0.487,  8.000,  2.200, 19.707, -9.881, -0.501, -4.000, -3.575
519.611, 50.102,  0.096,  5.000, -2.900, -42.822, -10.389,  0.243,  0.000,  2.700
804.669, 53.134,  0.066, 15.000,  8.950, 47.323, 11.603,  0.245, -10.000, -11.550
1056.495, 43.409,  0.041,  6.000, -7.000, -96.597, -6.429,  0.067,  0.000,  6.917
1643.144, 39.649,  0.024,  3.000, -6.000, 69.080, 20.288,  0.294,  1.000,  2.125
1459.292, 27.475,  0.019,  4.000, -3.125, 151.446, 28.256,  0.187,  2.000,  2.825
3378.639, 238.184,  0.070,  4.000, -4.250, -0.541, 26.585, -49.155,  6.000,  4.917
1226.371, 52.430,  0.043,  7.000, -0.583, 213.072, -20.789, -0.098,  4.000,  4.917
1016.975, 28.352,  0.028,  7.000, -3.200, -25.927, 14.187, -0.547, -2.000,  2.100
8980.918, 257.226,  0.029,  6.000, -1.750, -64.417, -35.662,  0.554,  5.000,  5.938
232.853, 33.173,  0.142,  9.000,  0.833, 16.656, -19.312, -1.159, -4.000, -1.533
261.894, 79.175,  0.302,  5.000, -4.000, 130.436, -38.288, -0.294,  0.000,  1.200
681.155, 22.732,  0.033,  6.000, -2.375, 132.997, 33.735,  0.254, -3.000, -2.292
1153.817, 62.527,  0.054,  6.000, -0.900, 65.522,  2.119,  0.032,  0.000,  0.650
110.958, 18.247,  0.164,  7.000, -1.000, 131.556, -4.576, -0.035, -3.000, -3.375
122.991, 34.596,  0.281,  0.000, -9.000,  7.052,  1.652,  0.234,  3.000,  6.667
156.588, 94.230,  0.602,  9.000,  1.625, -88.814, -88.496,  0.996, -8.000, -3.125
259.153, 102.469,  0.395,  7.000, -1.167, -28.320, -70.564,  2.492, -4.000,  1.417
 4.200,  0.000,  0.000,  6.000, -0.400,  0.436,  0.000,  0.000, -5.000, -4.100
1866.455, 75.101,  0.040,  6.000,  0.083, -130.560, -26.772,  0.205,  5.000,  4.250
1188.792, 37.306,  0.031,  5.000, -2.750, 82.894, 91.386,  1.102,  8.000,  7.875
32.869, 42.744,  1.300,  8.000,  0.750, -23.267, -42.018,  1.806, -3.000, -6.417
42.606,  5.065,  0.119,  7.000, -1.600,  7.078,  1.051,  0.148, -1.000, -0.300
146.425, 38.970,  0.266,  3.000, -4.000, -71.781, -20.852,  0.290,  1.000,  1.500
1015.399, 102.406,  0.101,  3.000, -4.833, 238.721, 82.904,  0.347,  3.000,  6.000
626.896, 131.118,  0.209,  5.000, -1.000, -8.664, -95.765, 11.054, -1.000, -1.375
283.487, 135.663,  0.479,  6.000, -0.667, 65.490, -119.315, -1.822, -1.000,  1.167
160.968, 17.774,  0.110,  6.000, -1.417, 47.949, 97.873,  2.041, -3.000, -1.417
427.462, 55.230,  0.129, 11.000,  2.500, 214.015, 103.634,  0.484, -7.000, -3.375
149.296,  5.852,  0.039,  7.000,  0.571, 36.093, -0.639, -0.018, -2.000, -0.471
1959.622, 85.468,  0.044,  4.000, -3.000,  3.354,  9.349,  2.787,  6.000,  6.438
52.067, 48.447,  0.930, 14.000,  5.850, -33.614, -21.777,  0.648, -10.000, -12.600
 6.778,  1.023,  0.151,  7.000, -1.000, 37.128, 53.645,  1.445, -3.000, -2.500
259.760, 39.249,  0.151,  6.000, -2.333, 220.378, 30.323,  0.138, -1.000,  1.133
18.806,  0.961,  0.051,  4.000, -2.500, 21.537,  4.380,  0.203, -1.000, -2.167
169.284, 25.093,  0.148,  6.000, -4.167, -71.594, -21.210,  0.296, -1.000,  3.367
96.474, 38.390,  0.398, 12.000,  3.900, -31.650, -30.444,  0.962, -8.000, -5.150
938.099, 160.771,  0.171,  6.000, -0.917, -7.799, -18.741,  2.403,  0.000,  1.560
779.192, 66.155,  0.085,  5.000, -1.800, -66.469, 15.543, -0.234,  1.000,  1.217
50.980, 19.855,  0.389,  8.000,  1.143, -40.393, -19.507,  0.483, -2.000, -3.143
14.055,  0.548,  0.039,  3.000, -2.000, -8.439, -0.548,  0.065,  2.000, -0.500
4381.580, 423.996,  0.097,  9.000, -3.375, -254.669, -131.937,  0.518,  6.000, 11.875
457.403, 31.741,  0.069, 10.000,  2.300, 40.691,  5.052,  0.124, -1.000, -1.500
2531.210, 198.622,  0.078,  8.000,  1.200, -4.443, -19.511,  4.391,  3.000,  2.014
 3.321,  0.000,  0.000,  9.000,  3.000, 15.018, 25.100,  1.671, -5.000, -8.167
46.100,  4.491,  0.097, 11.000,  4.000, 32.937,  0.108,  0.003, -5.000, -5.900
1890.092, 109.965,  0.058, 10.000,  3.417, -29.237, -52.468,  1.795, -3.000, -4.833
432.597, 82.258,  0.190,  4.000, -2.625, -80.483, -16.053,  0.199,  1.000, -0.575
101.293, 21.229,  0.210,  4.000, -4.500, -2.580, 14.481, -5.613,  0.000, -0.500
491.768, 14.567,  0.030,  9.000, -0.400, 1231.438, 21.372,  0.017,  3.000,  4.400
19.937,  0.000,  0.000,  8.000,  1.071, 21.048, 220.050, 10.455, -3.000, -3.446
541.667, 38.251,  0.071,  4.000, -4.250, -125.919, -14.030,  0.111,  0.000, -3.917
151.939, 63.957,  0.421,  4.000, -1.875, 93.519, -24.472, -0.262,  3.000,  1.250
822.420, 45.374,  0.055,  8.000, -0.417, -39.350, -7.878,  0.200, -3.000, -4.583
484.547, 27.641,  0.057,  4.000, -3.000, 47.624, -13.085, -0.275,  1.000,  1.167
557.103, 45.900,  0.082,  7.000, -1.000, -158.018,  8.239, -0.052, -1.000,  1.300
2377.930, 174.586,  0.073,  5.000, -2.000, 24.579, 26.613,  1.083,  6.000,  6.000
267.483,  9.672,  0.036,  3.000, -4.833, -61.352, -1.320,  0.022,  4.000,  5.083
1495.831, 227.501,  0.152,  3.000, -4.333, -112.604, -155.079,  1.377,  4.000,  5.333
495.640, 159.236,  0.321,  8.000,  1.667, -47.752, -124.005,  2.597, -4.000, -3.417
604.692, 11.112,  0.018,  5.000, -2.333, 124.084, 14.050,  0.113,  1.000,  0.833
1518.039, 55.964,  0.037,  8.000,  1.429, -83.140,  3.744, -0.045,  1.000,  0.238
130.283, 15.078,  0.116,  3.000, -5.833,  5.407, -1.452, -0.269,  2.000,  4.458
187.680, 10.623,  0.057,  7.000, -2.625,  4.625, 46.023,  9.951, -1.000,  1.625
1767.007, 79.453,  0.045,  3.000, -3.167, -55.771, 52.795, -0.947,  5.000,  2.417
498.419, 29.594,  0.059,  7.000, -0.400, -66.445, -3.838,  0.058, -2.000, -0.500
493.234, 87.486,  0.177,  3.000, -4.167, -348.435, -41.739,  0.120,  0.000,  3.417
67.723, 11.755,  0.174, 21.000, 13.036, 72.733, 71.032,  0.977, -15.000, -12.436
375.667, 39.670,  0.106,  5.000, -2.000, -81.686, -15.179,  0.186,  2.000,  1.000
2855.782, 159.687,  0.056,  4.000, -2.125, 89.352, 49.005,  0.548,  9.000,  8.989
298.830, 79.969,  0.268,  3.000, -2.667, -27.639, -7.405,  0.268,  2.000, -0.708
2519.772, 261.154,  0.104,  5.000, -0.500, -250.318, -215.825,  0.862,  7.000,  5.312
577.765, 85.401,  0.148,  7.000, -0.786, -48.413, 14.820, -0.306, -2.000, -2.014
2578.158, 84.991,  0.033,  5.000, -1.600, -103.625, 15.708, -0.152,  8.000,  8.191
224.845, 24.673,  0.110,  6.000,  0.300, -37.424, 95.241, -2.545, -2.000, -4.300
75.837, 24.001,  0.316,  8.000,  1.312, 68.675, 30.994,  0.451, -4.000, -4.312
38.346,  6.108,  0.159,  5.000, -1.800, 13.516, 38.884,  2.877, -2.000, -3.367
121.878, 26.592,  0.218,  4.000, -3.000, 18.799, 79.164,  4.211,  0.000, -1.667
95.637,  9.705,  0.101,  5.000, -2.000, 74.324,  8.652,  0.116, -1.000, -1.500
448.052, 24.354,  0.054,  7.000,  0.857, 199.860, 36.897,  0.185, -1.000, -3.024
926.767, 69.079,  0.075, 12.000,  3.917, -289.269, -41.020,  0.142, -1.000, -1.345
120.629,  9.145,  0.076,  6.000, -0.833, 45.001,  9.188,  0.204, -2.000, -1.417
648.087, 30.580,  0.047,  6.000,  0.125, -122.071, 13.894, -0.114,  0.000, -1.750
140.633, 36.598,  0.260,  4.000, -1.125, -32.969, -32.674,  0.991,  0.000, -1.208
343.893, 71.621,  0.208,  4.000, -2.125, -96.888, 173.490, -1.791,  2.000,  2.250
437.370, 23.454,  0.054,  3.000, -4.167, -75.199, -8.122,  0.108,  0.000,  0.333
1479.019, 141.692,  0.096,  6.000, -0.400, 265.209, 19.593,  0.074,  2.000,  1.757
2619.859, 35.589,  0.014,  3.000, -5.333, 144.645, 22.615,  0.156,  5.000,  6.583
599.071, 53.374,  0.089,  9.000,  3.214, -31.862, -22.519,  0.707, -1.000,  0.071
1016.973, 111.269,  0.109,  1.000, -6.750, -255.628, 16.092, -0.063,  6.000,  6.550
120.082, 24.324,  0.203,  7.000,  1.250, 44.714,  4.630,  0.104,  0.000, -2.083
104.573, 10.413,  0.100,  4.000, -2.750, 85.278,  9.973,  0.117,  1.000,  0.417
445.679, 86.101,  0.193,  7.000,  1.250, -177.381, -49.693,  0.280,  1.000, -0.625
37.597, 10.686,  0.284,  7.000, -0.125, 43.451,  3.586,  0.083,  2.000,  1.125
165.201, 15.026,  0.091,  5.000, -3.333, 29.130, 16.793,  0.576, -1.000,  1.708
73.702, 37.779,  0.513,  4.000, -2.625, 106.854, -9.009, -0.084,  0.000,  1.000
185.576, 18.598,  0.100,  3.000, -3.333, 53.836, 12.329,  0.229,  0.000,  0.167
69.232,  3.665,  0.053,  6.000,  0.833, -42.245, 72.764, -1.722, -3.000, -3.500
276.554, 87.150,  0.315,  3.000, -6.000, 37.754, -42.639, -1.129,  1.000,  5.125
279.944, 168.609,  0.602,  6.000, -0.583, -27.345, 284.218, -10.394, -3.000, -4.917
460.756, 29.326,  0.064,  7.000,  0.417, -17.860, 31.062, -1.739, -3.000, -2.042
1449.275, 72.898,  0.050,  8.000,  0.857, 183.571, -28.428, -0.155,  2.000,  2.500
1521.681, 39.568,  0.026,  4.000, -5.375, 349.979, 24.935,  0.071,  6.000,  8.125
336.302, 13.333,  0.040,  4.000, -2.625, 98.249, 17.112,  0.174,  2.000, -0.125
753.657, 19.495,  0.026,  5.000, -4.625, -196.294, -0.080,  0.000,  1.000,  5.375
1816.122, 141.923,  0.078,  6.000, -0.750, 73.166, -46.595, -0.637,  5.000,  5.062
1749.823, 42.160,  0.024,  7.000,  0.500, 20.002,  5.319,  0.266,  3.000,  4.150
1862.526, 134.033,  0.072,  9.000,  2.900, 41.007, 46.528,  1.135,  2.000, -0.275
144.152, 72.860,  0.505,  5.000, -0.500, 95.366, -35.001, -0.367, -1.000, -5.750
215.341, 10.799,  0.050,  5.000,  0.200, -35.335, -1.868,  0.053, -2.000, -5.367
260.221, 14.045,  0.054,  6.000,  1.000, 21.506,  0.454,  0.021, -1.000, -3.400
627.960, 99.505,  0.158,  3.000, -1.333, -58.677, -62.483,  1.065,  4.000,  2.433
233.816,  5.110,  0.022,  7.000,  2.400, 235.208,  8.976,  0.038,  0.000, -2.900
261.984, 14.366,  0.055,  4.000, -3.833, 141.499, 114.985,  0.813,  1.000,  5.133
642.684, 12.650,  0.020,  3.000, -1.333, 190.665,  4.429,  0.023,  4.000,  1.548
440.850, 14.368,  0.033,  1.000, -2.750, 156.913,  5.614,  0.036,  6.000,  2.821
1430.325, 33.060,  0.023,  8.000, -1.357, -237.499, 111.937, -0.471, -2.000,  0.274
141.625,  7.238,  0.051,  8.000, -2.600, -26.365, -0.776,  0.029, -4.000,  0.850
446.286, 16.745,  0.038, 10.000, -1.583, -16.342, -3.972,  0.243, -3.000,  2.750
307.840, 56.169,  0.182, 11.000,  1.250, -71.030, 22.010, -0.310, -3.000,  0.850
20.247, 117.764,  5.816, 22.000, 12.300,  3.339, -89.742, -26.878, -18.000, -16.425
95.788,  5.680,  0.059,  7.000, -6.875,  9.686, -0.320, -0.033, -2.000,  4.475
50.716,  3.611,  0.071,  3.000, -10.833, 84.206,  2.588,  0.031,  5.000, 12.917
119.471, 32.797,  0.275,  7.000, -0.200, 33.798,  3.745,  0.111, -1.000, -1.300
112.431, 28.712,  0.255, 11.000,  0.917, 82.849,  1.885,  0.023, -5.000, -1.000
1125.000, 56.763,  0.050, 35.000, 26.233, -75.659, -35.294,  0.466, -30.000, -28.433
2555.000, 39.428,  0.015,  9.000, -0.500, 316.202, 25.612,  0.081,  1.000,  5.000
215.485, 21.245,  0.099,  8.000, -0.125, 88.367, 34.355,  0.389,  0.000,  0.125
279.073, 85.850,  0.308, 12.000,  1.500, 32.164, -24.254, -0.754, -4.000, -1.929
179.206, 29.344,  0.164,  5.000, -8.000, -45.930, 57.116, -1.244,  1.000,  7.900
830.260, 85.487,  0.103,  6.000, -3.833, -87.748, -49.418,  0.563,  0.000,  4.000
99.768, 33.924,  0.340,  4.000, -7.833, 41.065,  0.402,  0.010,  4.000,  8.500
192.967, 17.151,  0.089,  5.000, -1.400, 30.377,  3.391,  0.112,  3.000,  1.500
1328.098, 30.562,  0.023,  9.000,  1.800, 162.084,  1.661,  0.010, -2.000, -1.300
2761.264, 202.534,  0.073,  4.000, -2.500, -158.218, -81.639,  0.516,  3.000,  3.900
989.260, 16.567,  0.017,  5.000, -1.667, 86.133,  1.212,  0.014,  2.000,  3.810
1208.073, 24.078,  0.020,  5.000, -2.125, -147.996,  2.720, -0.018,  0.000,  0.925
3285.568, 89.418,  0.027,  6.000, -0.500, -565.179, 28.003, -0.050,  5.000,  3.750
1100.896, 17.431,  0.016,  5.000, -1.700,  4.068,  8.772,  2.156,  5.000,  4.843
829.337, 20.999,  0.025,  9.000,  3.333, 87.443, -7.481, -0.086, -4.000, -5.633
305.631, 85.235,  0.279,  5.000, -2.100, -76.297, -63.723,  0.835,  2.000,  1.350
175.983, 17.260,  0.098,  5.000, -2.875, 132.222, 74.475,  0.563,  4.000,  4.732
1015.708, 27.657,  0.027,  8.000,  0.917, 857.511, 23.254,  0.027,  1.000,  2.208
215.753, 16.347,  0.076,  5.000, -4.667, 63.809, -9.557, -0.150, -2.000,  0.500
 7.321,  0.000,  0.000,  8.000,  0.562, 10.146, 58.598,  5.776, -2.000, -1.188
595.315, 11.516,  0.019,  5.000, -3.600, -88.685, -3.585,  0.040,  4.000,  5.300
585.894, 83.130,  0.142, 10.000,  4.500, -147.172, -62.377,  0.424, -6.000, -6.500
950.648, 25.204,  0.027,  3.000, -6.500, 32.745,  0.943,  0.029,  4.000,  5.200
159.165,  2.683,  0.017, 10.000,  2.833, 61.618, 143.344,  2.326, -4.000, -4.433
684.375, 28.190,  0.041,  3.000, -6.833, -74.362, -1.707,  0.023,  2.000,  4.433
756.640, 47.510,  0.063,  5.000, -2.750, 86.604, 12.124,  0.140,  1.000,  0.375
893.835, 42.739,  0.048,  3.000, -4.333, -64.857, -19.967,  0.308,  1.000,  0.333
836.621, 55.331,  0.066, 12.000,  5.300, -9.878, -35.244,  3.568, -7.000, -5.600
231.521, 46.881,  0.202,  4.000, -2.375, -7.825, -13.256,  1.694,  0.000,  0.750
1067.762, 67.337,  0.063,  9.000,  1.929, -61.897, 107.272, -1.733, -5.000, -4.054
378.168, 11.334,  0.030,  7.000, -0.250, -20.872, 11.451, -0.549, -2.000, -1.250
1768.653, 65.036,  0.037,  7.000,  0.071, -33.506, -33.463,  0.999,  0.000,  1.129
21.389,  2.393,  0.112,  6.000, -0.333, -6.399, -1.434,  0.224, -3.000, -2.500
1340.116, 35.887,  0.027, 15.000,  9.182, -77.632, 14.870, -0.192, -3.000, -3.293
221.719, 15.285,  0.069,  2.000, -4.000, -39.509, 101.269, -2.563,  6.000,  4.700
524.718, 59.080,  0.113,  4.000, -2.250, 216.623, 33.329,  0.154,  6.000,  5.833
544.671, 17.878,  0.033, 10.000,  3.750, 103.785, 23.215,  0.224,  0.000, -0.536
752.101, 16.853,  0.022,  4.000, -3.500, -24.787,  0.064, -0.003,  1.000,  1.900
110.506, 24.792,  0.224, 11.000,  4.688, -5.363, 47.576, -8.870, -7.000, -7.438
138.851, 15.697,  0.113,  8.000,  0.500, -23.687, -9.728,  0.411, -1.000,  0.750
478.510, 55.067,  0.115,  3.000, -6.667, -98.339, 29.900, -0.304,  5.000,  6.167
40.951, 117.180,  2.861,  7.000,  0.643, -5.033, -110.991, 22.051,  2.000,  0.257
257.541, 30.031,  0.117,  5.000, -1.625, -2.539, -14.677,  5.780, -1.000, -1.375
1549.913, 101.263,  0.065,  9.000,  2.667, -67.854, -30.924,  0.456, -2.000, -2.524
234.551, 87.323,  0.372, 10.000,  2.625, -123.735, -66.800,  0.540, -1.000, -1.625
278.778, 26.299,  0.094,  6.000,  0.167, 30.311, 13.550,  0.447,  0.000, -0.167
152.413, 39.388,  0.258,  9.000,  2.000, 16.977,  1.833,  0.108,  1.000,  0.800
1565.250, 32.489,  0.021,  6.000, -2.167, -473.740,  3.922, -0.008, -1.000,  2.167
49.846, 21.957,  0.441, 12.000,  5.056, 38.895, -11.156, -0.287, -9.000, -10.056
219.183,  5.892,  0.027, 14.000,  5.444, 81.832, 18.536,  0.227, -6.000, -3.361
179.700, 49.522,  0.276,  6.000, -2.833, -23.190, -41.332,  1.782,  0.000,  1.333
28.687, 22.293,  0.777,  7.000, -1.571, 15.336, 45.566,  2.971, -2.000, -1.595
76.261, 46.635,  0.612, 14.000,  7.167, 62.319, 19.734,  0.317, -7.000, -7.767
61.413, 67.417,  1.098,  9.000,  1.438, -31.105, -4.578,  0.147, -5.000, -6.771
2557.315, 145.301,  0.057,  8.000, -0.900, -251.349, -5.315,  0.021,  5.000,  7.483
