A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
 2.266,  0.000,  0.000,  3.000, -2.833,  1.174,  0.000,  0.000,  4.000, -2.667
265.070,  3.452,  0.013,  7.000, -0.583, -89.318, -0.220,  0.002, -1.000, -0.217
304.320, 14.736,  0.048,  6.000, -0.500, -48.603,  1.559, -0.032,  0.000, -0.750
264.051, 13.806,  0.052, 10.000,  4.250, -33.923,  0.301, -0.009, -4.000, -6.750
274.891, 12.943,  0.047,  6.000, -1.500, -81.881, 27.932, -0.341,  6.000,  5.700
274.201, 26.431,  0.096,  8.000,  2.000, -119.196, -2.289,  0.019,  0.000, -1.600
417.307, 36.374,  0.087,  5.000, -0.500, 82.345,  7.302,  0.089,  1.000, -0.100
990.483, 104.128,  0.105,  3.000, -2.833, -21.827, -10.602,  0.486,  7.000,  4.133
305.890, 25.794,  0.084,  5.000, -0.625, -38.356, -14.995,  0.391, -1.000, -1.625
44.955,  6.224,  0.138,  5.000, -0.500, -41.911, -6.224,  0.149, -2.000, -5.500
844.454, 33.309,  0.039,  2.000, -5.500, 42.879, -8.536, -0.199,  3.000,  4.700
273.661, 20.966,  0.077,  6.000, -1.600, -80.320, -15.640,  0.195, -3.000, -1.400
1131.765, 54.855,  0.048, 13.000,  6.400, -49.429,  1.396, -0.028, -8.000, -6.500
159.356, 204.471,  1.283,  4.000, -2.375, 54.002, -135.455, -2.508, -1.000,  0.875
127.962,  7.573,  0.059,  7.000,  0.250, -50.761, -2.221,  0.044, -4.000, -2.417
27.368, 28.823,  1.053,  7.000, -0.125, -7.082, 16.869, -2.382, -6.000, -4.125
134.566, 21.317,  0.158,  5.000, -2.300, -19.419, -3.406,  0.175,  0.000,  3.300
259.288, 29.009,  0.112,  6.000, -1.250, -27.774, 27.529, -0.991, -2.000,  0.350
285.876, 11.467,  0.040,  4.000, -1.750, -91.450, -1.279,  0.014,  1.000,  2.875
200.052, 29.944,  0.150,  4.000, -2.875, -26.002, -5.638,  0.217,  2.000,  2.875
187.155, 27.266,  0.146, 13.000,  6.389, -68.653, -10.037,  0.146, -9.000, -8.764
 4.705,  0.000,  0.000,  5.000, -3.750, 51.598, 38.527,  0.747, -2.000,  1.583
491.196, 70.968,  0.144,  5.000, -5.750, 73.612, -28.593, -0.388,  2.000,  7.150
