da_len_w_an4_l, da_len_w_an4_r, da_len_w_an4_opp, da_num_w_an4_l, da_num_w_an4_r, da_num_w_an4_opp, A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, da_len_w_diff_l, da_len_w_diff_r, da_len_w_diff_opp, da_num_w_diff_l, da_num_w_diff_r, da_num_w_diff_opp, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
124.983, 114.327, 114.425, 125.063, 119.932, 115.005, 2447.045, 164.298,  0.067,  6.000, -0.750, 11.346, -13.490,  6.750,  5.321, -14.186,  8.865, -225.770, -116.705,  0.517, -2.000, -2.250
132.076, 112.687, 117.477, 131.288, 114.979, 113.733, 3840.217, 137.164,  0.036,  4.000, -6.000, -0.560, 23.520, -0.388, -3.077, 15.146, -12.069, -332.574, -79.162,  0.238,  2.000,  6.167
124.277, 87.535, 148.188, 127.655, 88.216, 144.129, 664.030, 98.398,  0.148,  1.000, -4.750, 25.037, -27.939, -4.158, 21.847, -21.747, -0.100, -187.740, -77.757,  0.414,  2.000,  1.250
139.162, 112.444, 109.116, 135.866, 113.359, 110.775, 350.255, 14.757,  0.042,  4.000, -2.250, 11.376, -21.673, 13.542, 14.180, -22.817,  8.637, 143.321, 49.104,  0.343,  1.000, -0.375
130.238, 114.976, 107.597, 135.000, 111.330, 113.670, 1622.823, 132.732,  0.082,  4.000, -7.000,  7.925, 16.007, -12.522, -9.531,  8.664,  0.866, 50.853, -92.391, -1.817,  2.000,  7.333
149.228, 97.844, 128.092, 147.802, 88.451, 123.746, 2693.062, 88.483,  0.033,  4.000, -2.125,  6.279, -41.258, 10.771,  9.407, -25.763, 16.357, -118.821, -60.450,  0.509,  3.000,  3.839
125.655, 115.853, 114.364, 130.714, 113.899, 115.387, 274.651,  7.546,  0.027,  5.000, -0.200,  8.767, -12.820, -5.580,  5.410, -3.628, -1.782, -89.490, -2.572,  0.029, -1.000, -2.675
153.366, 111.204, 99.922, 149.772, 113.368, 96.860, 1131.064, 92.676,  0.082,  8.000,  1.700, -10.240, 13.009, -7.260, -13.661,  9.622,  4.039, 57.400, -71.317, -1.242, -3.000, -3.500
126.859, 121.193, 116.891, 121.344, 118.820, 119.837, 5116.918, 180.857,  0.035,  8.000,  1.800, 12.286, -6.166, -11.062, 10.226, -12.234,  2.008, -245.458, -55.178,  0.225,  0.000,  0.200
102.420, 111.479, 133.953, 113.296, 111.839, 134.865, 3116.107, 162.115,  0.052,  3.000, -5.333, 37.085, -27.585, 11.883, 24.404, -31.532,  7.128, -760.506, -93.319,  0.123,  7.000,  9.619
126.180, 115.910, 117.910, 133.582, 109.472, 116.946, 40.333,  0.000,  0.000,  9.000,  3.100, -27.086, -4.056, 31.142, -37.512,  3.884, 33.629, -36.037,  0.026, -0.001, -5.000, -8.850
112.794, 114.856, 123.100, 115.829, 114.223, 129.948, 146.281, 36.896,  0.252,  3.000, -4.333,  2.187, -12.428, 19.492, -0.679, -14.411, 15.090, -63.869, -33.208,  0.520,  3.000,  2.458
123.459, 133.979, 108.634, 124.218, 138.138, 97.643, 377.075, 17.488,  0.046,  4.000, -3.167, -3.826, 13.709, -15.954, -22.021, 11.012, 11.009, -109.659, -12.373,  0.113,  6.000,  5.167
124.144, 122.977, 129.438, 119.473, 123.141, 117.387, 496.741, 23.491,  0.047,  8.000,  1.667, -6.738, -8.223,  3.295, -4.148, -11.052, 15.199, 11.794, 12.395,  1.051,  1.000, -0.667
125.810, 129.621, 110.962, 121.457, 119.863, 118.680, 410.407, 40.395,  0.098,  8.000,  2.400, -40.117, 18.250, 16.956, -36.160, 27.640,  8.520, -15.830, -24.161,  1.526, -1.000, -3.114
115.683, 119.903, 127.835, 116.193, 113.055, 130.752, 981.930, 107.833,  0.110,  7.000,  0.600, -5.026, -5.244, 11.440, -17.612,  8.725,  8.887, 239.963, 120.886,  0.504,  5.000,  4.471
130.964, 91.749, 137.287, 131.379, 94.939, 133.682, 78.783, 13.056,  0.166,  4.000, -0.375, -21.788,  4.009,  4.253, -23.976,  7.971, 16.006, -26.161, -7.795,  0.298,  2.000, -0.500
104.844, 128.268, 126.888, 114.993, 116.118, 128.888, 99.914, 13.309,  0.133,  7.000,  1.000, 10.886, 10.782, -31.036, -12.002, 26.896, -14.894, -53.627, -7.547,  0.141,  2.000, -0.100
112.972, 126.788, 120.740, 108.928, 136.048, 115.024, 488.628, 71.912,  0.147,  9.000,  2.056, -7.505, 16.890,  2.364, -10.931,  1.770,  9.161, -180.249, -62.333,  0.346,  3.000,  2.016
112.747, 126.624, 115.897, 116.352, 127.773, 115.874, 797.366, 48.248,  0.061,  1.000, -3.000, -6.547,  7.910,  1.083, -16.187, 14.324,  1.863, -68.939, 50.804, -0.737,  9.000,  5.500
115.172, 112.163, 125.544, 129.199, 114.719, 116.081, 168.215, 23.713,  0.141,  5.000, -2.500, -18.248, 24.169,  1.201, -33.205, 22.524, 10.681, -83.133, -21.231,  0.255,  3.000,  2.300
98.801, 127.416, 133.783, 100.987, 124.931, 134.082, 168.641, 38.206,  0.227,  6.000, -2.250, 16.506, -8.155, -8.351, 16.169, -7.769, -8.401, -70.753, -34.971,  0.494, -3.000, -3.417
124.144, 124.876, 112.616, 117.415, 120.215, 122.369, 522.074, 400.817,  0.768,  6.000, -4.000,  8.512,  2.368, -12.516, 13.906,  0.370, -14.277, -12.368, -383.822, 31.033,  2.000,  5.429
123.653, 93.314, 139.674, 123.418, 95.444, 141.138, 532.354, 46.678,  0.088,  6.000, -2.667, -12.518, -4.100, 19.973, -17.337, -0.887, 18.220, -220.365, -16.110,  0.073, -2.000,  1.042
130.315, 135.104, 99.180, 136.967, 132.823, 90.210, 210.451,  6.493,  0.031,  8.000,  0.750,  7.060,  5.900, -11.385,  1.141,  3.795, -4.936, 18.137, -1.815, -0.100, -3.000, -1.350
112.811, 129.454, 117.736, 119.538, 123.921, 116.540, 1312.240, 118.286,  0.090,  3.000, -4.000, 18.874, -17.253, -6.067, 13.445, -8.478, -4.968, -257.613, -104.649,  0.406,  5.000,  5.571
106.465, 112.925, 142.920, 109.186, 116.342, 134.471, 2563.410, 141.651,  0.055,  5.000, -1.250,  2.447, -0.782, -1.692,  1.207, -5.703,  4.496, -87.858, -44.657,  0.508,  6.000,  6.083
150.007, 102.489, 107.503, 149.324, 102.831, 107.846, 387.262, 10.645,  0.027, 15.000,  8.077,  7.047, -34.631, 31.488,  7.708, -33.914, 26.206, 99.617, 21.219,  0.213, -10.000, -9.327
125.573, 121.987, 111.886, 124.240, 118.544, 117.216, 397.990, 22.680,  0.057,  5.000, -1.500, 23.658, -6.911, -12.823, 24.187, -4.183, -20.004, 146.487, -17.790, -0.121,  0.000,  0.700
97.720, 144.893, 117.387, 94.284, 135.701, 130.016, 121.277,  0.000,  0.000,  7.000, -1.250, 34.020, -27.817, -13.876, 39.401, -14.788, -24.613, -92.918, 123.412, -1.328, -4.000, -4.083
130.188, 100.259, 129.554, 122.955, 104.562, 132.483, 165.996,  7.114,  0.043,  8.000,  0.000, -21.319, 18.728,  9.592, -19.761, 10.978,  8.784, -17.002, 13.371, -0.786, -4.000, -2.625
124.446, 125.474, 110.080, 118.732, 131.638, 109.630, 238.648,  4.929,  0.021,  5.000,  0.600,  3.912, -19.183, 10.868, 12.136, -29.799, 17.663,  4.716, 12.726,  2.699,  0.000, -1.700
146.437, 72.484, 141.079, 147.422, 76.159, 136.420, 239.302, 103.460,  0.432,  5.000, -3.333,  5.459,  7.581, -11.171,  2.747, 10.198, -12.945, 39.516,  5.903,  0.149, -1.000,  2.208
106.355, 137.092, 117.262, 110.100, 134.384, 115.516, 2288.920, 91.411,  0.040, 10.000,  3.600, -11.698,  3.060,  7.917, -15.350,  5.345, 10.005, -354.139, -49.580,  0.140,  0.000,  0.525
119.454, 107.970, 132.575, 119.644, 112.063, 128.293, 1030.816, 176.375,  0.171,  4.000, -1.625, 21.667, -6.538, 10.772, 20.540, -15.192, -5.347, -354.449, -45.762,  0.129,  0.000,  0.375
120.168, 132.938, 106.894, 121.424, 132.833, 105.744, 391.881,  9.794,  0.025,  8.000,  1.583, 16.365, -22.315, -10.871, 13.511, -11.525, -1.986, 49.802, -0.602, -0.012, -4.000, -3.958
126.259, 113.278, 135.895, 115.889, 105.713, 138.398, 439.134, 17.819,  0.041,  7.000,  0.750, 18.912, -35.704,  1.360, 21.263, -8.589, -12.674, -264.914, -5.656,  0.021, -3.000, -2.500
130.913, 123.772, 95.172, 132.107, 129.102, 98.791, 2228.962, 108.523,  0.049,  4.000, -3.125,  8.029, 13.576, -8.146,  8.861,  1.349, -10.210, 314.576, 118.513,  0.377,  3.000,  3.625
110.219, 134.627, 114.003, 110.614, 136.980, 112.406, 1192.683, 105.854,  0.089,  6.000, -2.167, -1.447, -4.865,  7.459,  1.180, -9.121,  7.938, -344.201, -89.725,  0.261,  3.000,  5.667
124.253, 113.199, 120.959, 127.390, 110.856, 121.753, 136.596, 14.511,  0.106,  6.000,  0.083,  0.897, -10.526, 11.218, -11.164,  0.893, 10.270, 20.387,  6.983,  0.343, -2.000, -2.083
104.894, 117.545, 119.184, 114.547, 127.123, 118.331, 377.744, 57.341,  0.152,  5.000, -0.100, 15.734,  3.173, -0.076,  4.456, -1.639, -2.817, -57.421, -45.082,  0.785, -1.000, -2.025
117.639, 125.761, 115.798, 117.991, 125.420, 116.589, 562.340, 31.000,  0.055,  6.000, -1.833,  3.163,  6.205, -9.413,  1.211,  6.676, -7.886, -49.399, -22.046,  0.446, -2.000, -0.167
101.129, 134.542, 126.103, 97.286, 136.577, 126.138, 2452.305, 142.375,  0.058,  6.000, -0.200,  9.362,  6.500, -6.948,  2.487,  2.756, -5.243, -49.868, -117.474,  2.356,  2.000,  3.763
106.923, 108.795, 141.618, 109.593, 108.240, 142.167, 2498.238, 39.277,  0.016,  5.000, -2.875, -4.964, -1.310,  2.788, -5.156,  2.980,  2.176, -276.325, -21.284,  0.077,  4.000,  7.042
120.033, 136.883, 118.485, 112.390, 133.653, 113.957, 300.264, 23.123,  0.077,  4.000, -3.333, -11.427, 15.303, -9.534, -10.747, 13.616, -2.869,  3.254, -19.236, -5.911,  0.000,  1.208
137.325, 123.074, 110.268, 126.133, 121.931, 111.936, 90.677, 11.109,  0.123,  3.000, -5.000, -27.767,  5.877, 21.810, -29.048,  4.985, 24.063, 450.377, -3.115, -0.007,  0.000,  1.000
101.213, 130.243, 129.121, 101.017, 130.443, 128.540, 484.203, 18.878,  0.039,  4.000, -3.333, 13.679, -10.234, -4.021, 14.470, -8.062, -6.408, 24.295, 13.498,  0.556,  1.000,  3.133
104.941, 157.580, 93.876, 109.678, 149.042, 101.279, 141.375, 13.928,  0.099,  6.000, -0.375,  2.145, -15.895, 17.354, -6.379, -9.208, 15.587, 226.465, -9.666, -0.043, -2.000, -2.375
91.206, 116.645, 152.149, 91.206, 116.645, 152.149, 1517.202, 261.878,  0.173,  9.000,  1.667, 26.695, -9.422, -11.398, 23.150, -8.663, -14.487, 272.223, -3.869, -0.014, -6.000, -2.500
91.206, 152.149, 116.645, 91.206, 152.149, 116.645, 120.210,  2.017,  0.017,  3.000, -6.000, 39.219, -6.346, -32.873, 44.844, -24.919, -19.925, 111.232, 14.460,  0.130,  0.000,  5.167
119.250, 150.364, 90.385, 124.213, 145.934, 89.853, 85.021,  0.000,  0.000,  9.000,  4.188,  2.134, -24.714, 22.580,  1.677, -23.714, 22.037, -45.977,  0.816, -0.018, -7.000, -4.854
112.329, 106.638, 119.391, 123.980, 113.932, 122.088, 164.614, 73.354,  0.446,  5.000,  0.500, 37.050, -20.984, 23.542, 23.897, -37.261, 13.365, -134.794, 15.811, -0.117, -3.000, -1.000
123.459, 114.509, 115.672, 115.019, 123.319, 121.662, 484.815, 37.492,  0.077,  4.000, -3.125, -23.528, 39.763, -2.357,  5.902, 20.342, -26.244, -201.672, 33.064, -0.164, -1.000,  1.625
87.004, 96.137, 148.604, 98.502, 105.957, 155.541, 1094.154, 111.848,  0.102,  3.000, -3.833, -0.163, 26.088,  2.331, -4.805, 12.655, -7.850, -520.489, -27.024,  0.052, -1.000,  1.667
139.473, 117.347, 107.618, 134.651, 112.437, 112.912, 112.008,  0.000,  0.000,  5.000, -0.300, -8.738, -1.153,  5.453, -8.212, -4.820, 13.032, 16.928,  9.110,  0.538,  1.000, -4.367
123.094, 145.116, 105.832, 124.650, 136.748, 98.602, 200.132, 31.261,  0.156,  7.000,  0.625,  1.071, -8.831, -15.831, -1.831,  3.671, -1.839, 178.964, 40.305,  0.225,  2.000,  0.675
109.622, 136.906, 117.794, 120.301, 124.013, 115.685, 804.701, 153.008,  0.190,  3.000, -3.500, 32.309, -52.815, 16.183, 18.426, -17.860, -0.566, -215.290, -83.984,  0.390,  1.000,  1.625
116.147, 125.239, 131.105, 109.132, 118.761, 132.107, 962.846, 84.152,  0.087,  8.000,  1.786,  4.331, -9.976, -6.846,  7.104, 15.308, -22.412, -50.804, -61.788,  1.216,  0.000, -2.952
115.270, 130.541, 112.196, 114.337, 128.268, 117.396, 845.913, 218.464,  0.258,  8.000,  1.857, -10.868,  7.567,  2.033, -12.326,  8.825,  3.500, -239.859, -151.917,  0.633,  0.000, -1.190
113.201, 132.773, 115.827, 115.607, 133.236, 111.157, 4997.324, 224.425,  0.045,  7.000, -1.600,  3.702,  7.056, -1.767, -1.541,  1.559, -0.018, -218.422, -153.486,  0.703,  7.000,  7.418
156.752, 119.202, 86.334, 155.608, 111.337, 93.055, 18.856,  2.294,  0.122,  8.000,  0.000, -49.943, -14.863, 40.808, -47.652,  9.108, 38.544, 66.514,  0.527,  0.008, -2.000, -0.600
126.203, 100.787, 133.011, 126.304, 101.129, 132.567, 85.018, 11.556,  0.136,  1.000, -8.250, 29.629, -17.836, -9.014, 28.348, -18.869, -9.478, 47.608, 95.211,  2.000,  4.000,  7.875
131.860, 116.096, 125.274, 125.678, 123.705, 110.617, 968.731, 36.475,  0.038,  5.000, -0.400, -3.553, -0.718,  2.376,  2.914, -15.405, 12.491, -5.598, 24.382, -4.355,  2.000, -2.000
123.816, 119.034, 117.150, 125.765, 111.729, 122.506, 17.715,  0.000,  0.000,  4.000, -2.250, 24.271, -40.086, 17.975, 22.040, -33.861, 11.821, -11.411,  0.000, -0.000,  0.000, -0.917
113.007, 104.417, 147.602, 109.372, 96.510, 154.118, 985.127, 170.687,  0.173,  5.000, -2.375,  3.151, -5.906, -1.438,  4.242,  4.530, -8.773, -397.171, -131.717,  0.332,  1.000,  0.675
112.739, 122.622, 123.163, 113.997, 124.007, 121.997, 100.506,  8.372,  0.083,  4.000, -2.750, 31.895, -0.360, -16.280, 22.018, -13.197, -8.821, 878.643,  7.888,  0.009,  4.000,  0.250
120.039, 109.578, 124.174, 120.581, 112.595, 126.824, 1871.557, 108.797,  0.058, 10.000,  4.050, 20.420,  4.063, -16.732, 15.067, -11.482, -3.586, -452.302, -85.321,  0.189,  1.000, -2.764
126.272, 112.099, 115.190, 132.987, 113.871, 113.142, 3526.147, 251.226,  0.071,  8.000,  2.688, 19.458, 15.625, -7.988,  6.042,  9.204, -15.246, -473.283, -186.086,  0.393, -3.000, -4.287
92.438, 156.180, 121.757, 92.265, 155.756, 111.979, 468.524, 55.097,  0.118,  7.000,  0.625, 17.740, -40.272, 12.156, 23.803, -45.103, 21.300, -152.288, -41.370,  0.272, -3.000, -4.125
142.884, 107.475, 127.259, 138.206, 106.828, 114.967, 1383.051, 64.377,  0.047,  4.000, -2.333, -7.160, -16.019,  5.561, -3.581, -1.065,  4.646, -100.192, -45.810,  0.457,  2.000,  2.333
121.634, 124.737, 122.552, 117.981, 122.621, 119.398, 83.785, 48.012,  0.573,  6.000,  0.000, -39.853,  3.819, 27.111, -30.292,  2.510, 27.782, -73.654, -41.389,  0.562, -2.000, -5.333
83.890, 156.878, 119.224, 81.854, 159.377, 118.762, 56.338, 341.074,  6.054,  4.000, -1.375, 23.868, -17.111, -6.748, 25.904, -19.609, -6.287, -53.280, -341.074,  6.402,  2.000, -1.625
112.466, 134.577, 128.587, 111.203, 126.671, 122.126, 503.065, 57.858,  0.115,  4.000, -2.500, -21.820, 12.310, 11.552, -32.048, 15.914, 16.135, -146.289, -29.048,  0.199,  8.000,  8.000
105.910, 120.984, 119.197, 117.451, 127.500, 115.049, 83.800,  0.000,  0.000,  4.000, -3.250, -16.860,  8.336, 22.433, -29.086,  1.895, 27.192, -38.847,  2.219, -0.057,  1.000, -0.750
114.751, 118.201, 113.359, 119.420, 117.362, 123.218, 436.770, 36.667,  0.084,  5.000, -4.625, -6.970, 21.509,  0.637, -18.306, 22.104, -3.798, -35.755, -28.670,  0.802,  2.000,  3.225
79.627, 116.593, 151.753, 81.777, 122.195, 156.023, 12.286,  0.000,  0.000,  3.000, -5.167, 21.048, -11.574,  6.457, 16.913, -19.128,  2.220, -9.554,  0.000, -0.000,  1.000, -0.083
87.414, 128.364, 137.808, 85.714, 131.748, 142.538, 869.115, 69.511,  0.080,  3.000, -5.833, -2.616, 22.931,  0.314,  2.695, 14.206, -16.901, -192.328, -40.631,  0.211, 11.000, 13.556
134.757, 133.672, 103.564, 134.004, 131.466, 94.530, 206.270,  0.000,  0.000, 11.000,  3.812, -14.287,  2.006, 18.587, -22.069, -3.555, 25.624, -52.571,  3.385, -0.064, -6.000, -6.812
98.518, 109.480, 132.759, 113.115, 112.459, 134.426, 326.554, 30.894,  0.095,  9.000,  2.000, -1.176,  9.742, 10.676, -10.665,  2.268,  8.397, -142.167, 107.382, -0.755, -3.000, -5.500
124.865, 113.944, 121.965, 128.760, 108.464, 122.775, 464.301, 83.605,  0.180,  4.000, -3.500,  3.785, 20.429, -24.988, -7.352, 18.918, -11.565, -38.914, -18.327,  0.471,  1.000,  1.500
151.894, 51.652, 156.454, 151.894, 51.652, 156.454, 266.593,  6.671,  0.025,  8.000,  1.750,    NaN,    NaN,    NaN,    NaN,    NaN,    NaN, -185.466,  9.242, -0.050, -8.000, -3.750
116.316, 99.830, 129.160, 113.010, 106.124, 140.866, 1972.300, 293.323,  0.149,  7.000,  0.200, -20.184, 16.489, 18.675, -3.401,  6.637, -3.237, -402.818, -238.320,  0.592, -2.000,  0.925
88.845, 141.275, 129.880, 87.959, 140.927, 131.114, 361.684, 31.254,  0.086,  4.000, -2.333, -31.628, -1.590, 33.218, -44.368, 12.959, 31.409, -125.202, -5.958,  0.048, -2.000, -0.167
118.057, 127.090, 125.018, 115.333, 135.011, 109.655, 200.830, 25.628,  0.128,  3.000, -4.000, -39.505, -1.055,  6.332, -23.371,  3.055, 20.316, -84.771, -21.895,  0.258, -1.000,  1.250
124.251, 125.956, 132.076, 114.575, 122.740, 122.685, 250.770, 16.568,  0.066,  5.000,  0.200, -38.174, 13.310,  2.582, -42.777, 21.633, 21.144, -131.611,  3.196, -0.024, -4.000, -4.450
97.524, 124.990, 137.486, 95.125, 117.800, 147.075, 235.093, 16.951,  0.072,  5.000, -1.300, -24.227, 26.324, -1.837, -7.794, 34.091, -26.298, -31.557, -1.813,  0.057,  1.000,  1.000
89.245, 116.688, 146.373, 87.704, 123.040, 149.256, 409.178, 84.573,  0.207,  5.000, -0.900, -25.926, 36.047, -3.019, -22.681, 29.925, -7.244, -165.520, -75.546,  0.456, -1.000, -0.600
87.364, 170.866, 95.611, 102.059, 172.022, 85.919, 109.639, 84.703,  0.773, 10.000,  4.083, -2.174, -58.242, 51.055,  0.168, -57.133, 56.965,  6.761, -79.457, -11.752, -4.000, -4.383
104.904, 128.900, 126.196, 114.422, 107.483, 138.095, 153.167,  4.771,  0.031,  7.000,  1.200, -41.135, 15.066, 26.069, -36.063, 39.534, -3.471, -33.652, -2.599,  0.077, -4.000, -5.200
119.536, 126.444, 117.267, 115.785, 124.747, 119.468, 4077.673, 125.022,  0.031,  4.000, -1.625, -2.309,  0.561,  5.627, -0.166,  4.131, -3.965, 81.086, -73.897, -0.911, 10.000,  9.489
124.486, 114.806, 125.563, 121.882, 118.713, 119.405, 759.341, 57.645,  0.076,  7.000,  0.143, -32.137, -0.223, 25.530, -26.013,  0.518, 25.495, -247.391, -41.162,  0.166, -2.000, -4.143
146.294, 126.249, 87.758, 149.184, 124.673, 86.143, 24.256,  1.450,  0.060,  5.000, -0.900, -11.577, -18.466, 24.191, -12.305, -14.947, 27.252, 16.746,  0.997,  0.060, -2.000, -4.267
125.249, 107.138, 127.613, 126.519, 107.756, 125.725, 228.912, 24.818,  0.108,  7.000, -1.500,  1.883,  7.576, -9.459,  2.680,  3.750, -6.431, 28.173,  6.799,  0.241, -2.000, -2.000
121.111, 125.288, 116.016, 130.794, 122.679, 106.526, 918.281, 30.824,  0.034,  5.000, -0.400,  3.030, -3.105, 10.526, -0.440, -16.058, 16.497, 13.627, -5.029, -0.369,  6.000,  3.471
127.776, 129.102, 103.122, 117.116, 121.191, 121.693, 674.201, 57.044,  0.085,  5.000, -0.600,  0.571,  0.666, -4.970,  5.092,  8.881, -13.973, 135.231, -25.299, -0.187,  2.000,  0.400
135.829, 102.288, 121.883, 137.435, 97.075, 125.489, 220.360, 46.177,  0.210,  6.000,  0.667, -5.372, -8.981, -4.341, -0.672,  8.104, -7.432, -9.610, -37.267,  3.878,  3.000,  1.033
124.521, 102.695, 132.785, 121.278, 103.857, 134.865, 47.990,  8.488,  0.177,  5.000, -4.833, -0.357, 22.163, -6.446, -0.822, 10.433, -9.611, -35.778, -6.529,  0.182, -2.000,  0.833
113.882, 130.969, 125.370, 116.396, 129.655, 113.949, 262.288, 18.898,  0.072,  4.000, -2.000,  5.298, -0.235, -12.269, 11.297, -2.282, -9.015, 12.016, -3.011, -0.251,  1.000,  1.300
102.324, 108.810, 148.867, 91.478, 111.656, 156.867, 813.670, 143.931,  0.177,  4.000, -3.375, -7.671, 18.614, -10.944,  3.479, 12.427, -15.906, -493.979, -54.516,  0.110, -3.000,  0.625
86.591, 127.728, 125.067, 96.099, 128.527, 135.374, 168.592, 35.181,  0.209,  6.000, -1.000, 15.572, -35.842, 19.202, 19.881, -25.799,  5.918, -84.008, -18.109,  0.216, -5.000, -1.250
86.605, 163.656, 94.546, 94.202, 157.433, 108.366, 74.670,  0.000,  0.000, 11.000,  5.000, 21.009, -8.813,  2.997, 23.792, -8.709, -15.083, -13.360,  8.276, -0.619, -10.000, -6.500
104.752, 160.668, 103.795, 114.293, 139.828, 105.879, 362.195, 25.506,  0.070, 10.000,  1.500,  7.106, -41.793, 25.472,  4.036, -36.256, 32.220, -149.488, -21.078,  0.141, -7.000, -4.500
157.008, 102.172, 105.849, 154.494, 99.624, 105.882, 95.835,  0.000,  0.000,  4.000, -3.875, -20.004, -21.312, 40.179, -16.437, -20.710, 37.147, -16.361,  4.843, -0.296, -3.000, -0.125
112.134, 149.040, 98.826, 118.159, 133.560, 108.281,  1.577,  0.000,  0.000,  3.000, -2.833, -5.427, -39.541, 44.969, -11.453, -24.061, 35.514,  0.452,  0.531,  1.176,  4.000, -2.667
119.493, 129.220, 98.495, 126.151, 137.418, 96.430, 240.600,  0.000,  0.000,  7.000, -0.583, 10.362, 15.573, -13.144,  4.271,  8.775, -13.045, -51.821, 29.864, -0.576, -1.000, -0.217
116.156, 122.534, 120.546, 119.656, 121.376, 118.968, 320.366, 11.820,  0.037,  6.000, -0.500, -4.136,  9.242, -3.090, -8.869,  8.575,  0.295, -62.132, 15.914, -0.256,  0.000, -0.750
99.993, 151.854, 113.949, 94.864, 151.148, 113.988, 253.203,  5.405,  0.021, 10.000,  4.250,  1.067, -15.158,  3.396,  7.018, -10.944,  3.927, -31.507,  0.023, -0.001, -4.000, -6.750
112.301, 110.391, 133.514, 105.363, 115.106, 139.531, 265.480, 19.720,  0.074,  6.000, -1.500, 10.726, 13.817, -2.868,  4.835,  4.486, -9.322, -69.662,  2.476, -0.036,  6.000,  5.700
109.885, 121.600, 128.514, 127.399, 116.228, 116.372, 317.929, 15.094,  0.047,  8.000,  2.000, -24.301, 35.427, -8.268, -41.040, 40.049,  0.991, -153.057, 36.632, -0.239,  0.000, -1.600
112.355, 111.802, 132.711, 115.808, 108.486, 135.706, 498.211, 61.784,  0.124,  5.000, -0.500,  0.819, -5.548,  6.510, -3.938, -3.531,  7.470, -20.036, -40.201,  2.007,  1.000, -0.100
102.376, 130.198, 127.426, 101.960, 133.372, 124.667, 1195.459, 176.721,  0.148,  3.000, -2.833, -17.474,  5.025, 17.169, -18.141, -3.711, 21.851, -236.746, -93.251,  0.394,  7.000,  4.133
117.390, 103.262, 136.528, 123.094, 107.124, 129.781, 386.395, 35.648,  0.092,  5.000, -0.625, -13.584, 17.963, -1.559, -16.765,  6.737, 10.029, -122.302, -10.346,  0.085, -1.000, -1.625
121.152, 116.963, 121.884, 127.886, 120.669, 111.444, 55.833,  4.425,  0.079,  5.000, -0.500, -28.309, -4.490, 32.801, -34.767, -8.271, 43.040, -54.601, -4.425,  0.081, -2.000, -5.500
133.797, 129.928, 121.366, 124.158, 131.436, 104.405, 949.085, 195.666,  0.206,  2.000, -5.500, -50.613, 19.817,  5.705, -24.935, 12.715, 12.219, -65.183, -178.634,  2.741,  3.000,  4.700
95.363, 131.108, 133.529, 97.945, 129.524, 132.531, 343.939, 14.189,  0.041,  6.000, -1.600, -7.312, 26.791, -8.246, -6.521, 20.879, -14.358, -154.597, -11.884,  0.077, -3.000, -1.400
77.190, 145.578, 134.897, 85.353, 146.394, 128.253, 1475.879, 168.795,  0.114, 13.000,  6.400, -14.296,  6.740, 13.675,  8.227,  5.396, -13.623, -406.469, -122.649,  0.302, -8.000, -6.500
108.723, 101.200, 134.206, 110.830, 107.232, 141.939, 327.553, 352.353,  1.076,  4.000, -2.375,  5.376, -9.552, 20.047,  0.149, -14.712, 14.563, -133.306, -332.496,  2.494, -1.000,  0.875
109.237, 125.407, 125.356, 109.540, 125.603, 124.858, 160.006,  7.864,  0.049,  7.000,  0.250,  6.019, 27.378, -33.397, -3.145, 20.407, -17.263, -90.900, -3.717,  0.041, -4.000, -2.417
78.968, 128.088, 152.944, 76.114, 130.379, 153.506, 53.392, 113.679,  2.129,  7.000, -0.125, -36.646, 30.580,  6.066, -33.793, 28.289,  5.503, -46.502, -111.950,  2.407, -6.000, -4.125
119.230, 119.106, 121.664, 128.269, 122.046, 109.685, 239.326, 43.691,  0.183,  5.000, -2.300, -25.127, -34.565, 27.461, -21.626, -20.784, 42.410, -130.204, -39.456,  0.303,  0.000,  3.300
98.938, 129.093, 128.295, 106.373, 131.239, 122.387, 348.832, 28.154,  0.081,  6.000, -1.250, -20.615, 12.619, 32.600, -35.235, -2.562, 37.796, -134.708, -4.943,  0.037, -2.000,  0.350
98.669, 111.160, 127.945, 104.283, 127.565, 128.152, 403.193, 43.878,  0.109,  4.000, -1.750, -30.862, 49.903,  3.186, -36.282, 36.069,  0.213, -210.597, -37.408,  0.178,  1.000,  2.875
122.707, 91.148, 133.516, 131.061, 94.561, 134.379, 302.370, 30.191,  0.100,  4.000, -2.875, -16.391, 12.253, 16.767, -27.726, 23.005,  4.722, -122.255, -5.541,  0.045,  2.000,  2.875
119.696, 130.319, 124.228, 115.050, 137.532, 107.418, 216.542, 17.533,  0.081, 13.000,  6.389, -13.352,  2.207, -3.098, -3.895, -8.742, 12.637, -105.696, -15.378,  0.145, -9.000, -8.764
129.751, 90.117, 140.132, 128.426, 91.683, 139.891,  6.746,  0.000,  0.000,  5.000, -3.750, -3.041,  9.220, -2.941, -17.421, 11.073,  6.348, 46.572, 34.100,  0.732, -2.000,  1.583
90.610, 71.503, 140.199, 111.606, 99.195, 149.199, 634.367, 86.421,  0.136,  5.000, -5.750, -19.505, 81.308, -0.630, -24.531, 51.357, -26.826, -79.194, -75.649,  0.955,  2.000,  7.150
