da_len_w_an4_l, da_len_w_an4_r, da_len_w_an4_opp, da_num_w_an4_l, da_num_w_an4_r, da_num_w_an4_opp, A_an4, fMs_an4, avg_FabsavgH_an4, C_an4, CnnC_an4, da_len_w_diff_l, da_len_w_diff_r, da_len_w_diff_opp, da_num_w_diff_l, da_num_w_diff_r, da_num_w_diff_opp, A_diff, fMs_diff, avg_FabsavgH_diff, C_diff, CnnC_diff
122.829, 116.693, 109.441, 118.971, 126.060, 114.969, 315.342, 36.982,  0.117, 12.000,  4.500,  2.192,  7.734, -5.175, -3.383,  6.533, -3.151, -38.844,  1.548, -0.040, -7.000, -5.900
139.979, 96.169, 125.818, 134.642, 104.358, 121.001, 443.751,  9.042,  0.020,  5.000, -3.000, -30.628,  9.670, 14.326, -19.540,  3.023, 16.517, -24.068,  5.947, -0.247,  0.000,  2.500
132.904, 116.887, 110.209, 131.753, 112.724, 115.522, 325.683, 55.846,  0.171,  6.000, -2.700, -12.816, 18.713, -5.896, -9.112,  9.286, -0.172, 171.834, -48.588, -0.283, -1.000,  0.800
121.682, 122.971, 111.147, 128.834, 124.913, 106.253, 196.873,  7.078,  0.036,  4.000, -5.125,  1.046, 15.421, -12.267, -6.652, 11.302, -4.650, 71.380,  0.336,  0.005,  1.000,  4.125
130.911, 105.076, 124.013, 128.747, 109.116, 122.137, 72.114,  2.682,  0.037,  4.000, -3.000, -35.395, 41.106, -5.711, -24.825, 41.630, -16.805, 37.163, 63.950,  1.721,  0.000, -0.500
101.639, 116.001, 141.714, 95.353, 118.351, 146.296, 609.788, 97.727,  0.160, 18.000, 10.375,  4.319, 29.258, -32.932, -11.407, 29.196, -17.790, -227.375, -74.768,  0.329, -9.000, -9.575
111.935, 112.474, 118.011, 103.777, 127.762, 128.459, 1704.505, 121.919,  0.072,  7.000, -1.000, -33.151, -16.383, 18.906, -4.570, -7.515, 12.086, -580.223, 15.816, -0.027,  2.000,  1.300
111.604, 140.305, 110.504, 108.205, 147.722, 104.072, 318.868, 13.375,  0.042,  7.000, -0.857, -34.966, 14.295, 16.619, -32.818,  7.260, 25.559, -114.743, -9.418,  0.082, -1.000, -1.976
79.903, 144.100, 139.345, 80.386, 141.507, 138.107, 94.531,  8.337,  0.088,  3.000, -5.000, 16.572, 19.627, -39.547, -1.964, 19.862, -17.898, -82.532, -7.140,  0.087,  2.000,  0.250
120.113, 118.567, 128.134, 113.452, 124.425, 122.123, 2738.131, 321.480,  0.117,  5.000, -3.250, -25.415, -12.179, 30.781, -21.259, -16.081, 37.340, -1255.808, -117.198,  0.093,  6.000,  5.850
94.162, 137.452, 134.509, 102.301, 125.663, 132.037, 22.026,  4.064,  0.185, 10.000, -1.167, 15.214, -11.653, -9.683,  8.445, -3.248, -5.197, -9.705, -2.274,  0.234, -7.000, -4.000
127.319, 134.528, 104.138, 127.172, 133.640, 99.188, 217.149,  9.762,  0.045, 11.000, -0.333,  6.944, -54.074, 32.690,  7.528, -37.930, 30.402, 306.788,  2.790,  0.009, -5.000, -0.917
118.703, 106.261, 114.517, 119.785, 120.493, 119.723, 334.176,  9.201,  0.028,  6.000, -5.250, 15.560, 12.945, -7.986, 10.459,  2.781, -13.240, 147.508,  7.968,  0.054,  2.000,  5.417
125.291, 97.201, 140.165, 123.064, 96.951, 139.985, 160.761, 30.596,  0.190,  6.000, -5.750, -30.045, 23.605, 17.232, -26.457, 13.470, 12.987, -106.257, -4.114,  0.039, -3.000,  5.083
132.337, 113.750, 119.125, 130.182, 113.624, 116.194, 131.368, 93.724,  0.713,  7.000,  0.900,  5.664, -10.881,  0.004,  7.785, -10.792,  3.007, -118.301, -89.411,  0.756,  1.000, -2.275
123.673, 116.815, 120.840, 121.069, 114.894, 124.037, 513.997, 53.012,  0.103,  4.000, -1.250,  5.588, -18.231, 11.316, 12.599, -27.700, 15.101, -325.982, -21.707,  0.067, -1.000, -0.583
119.322, 139.858, 108.738, 112.555, 136.341, 111.103, 102.707,  9.730,  0.095,  7.000,  1.750, 17.388, -12.717, -13.995, 23.802, -8.672, -15.130, 50.289, -8.145, -0.162, -1.000, -4.917
109.436, 165.596, 84.969, 109.436, 165.596, 84.969, 13.658,  1.611,  0.118,  4.000, -3.000, 10.672, -41.275, 19.988, 16.805, -36.819, 20.013, 109.189,  1.035,  0.009,  2.000,  2.250
130.466, 118.481, 111.053, 116.715, 134.307, 108.978, 419.997, 19.582,  0.047,  4.000, -0.750, -2.749, -24.292, 29.659, 12.592, -39.365, 26.774, 57.255, 11.482,  0.201,  3.000,  2.150
90.881, 145.361, 124.479, 91.216, 145.001, 123.783, 74.781,  8.314,  0.111, 10.000,  4.500, 38.502, -43.707,  4.484, 35.743, -33.692, -2.050, -40.113, -4.856,  0.121, -6.000, -6.625
110.568, 128.479, 120.953, 116.884, 120.951, 122.164, 88.364,  4.138,  0.047,  5.000, -1.875,  0.576,  1.787, -2.362, -7.577, -7.353, 14.930, 10.558, -0.399, -0.038, -2.000, -3.292
126.150, 115.527, 114.576, 127.978, 114.824, 117.197, 1177.357, 69.733,  0.059,  5.000, -0.900, -16.647, 13.727, 11.878, -18.739, 11.053,  7.686, -258.683, -37.917,  0.147, -2.000, -5.933
106.774, 122.498, 135.436, 103.595, 122.347, 134.058, 4492.797, 330.510,  0.074,  7.000,  0.357, -15.059, -0.485,  4.465, -2.614,  1.823,  0.791, -1026.497, -143.688,  0.140,  1.000,  1.018
115.680, 132.502, 111.819, 108.323, 136.578, 115.099, 130.830,  5.169,  0.040,  5.000, -2.875, 22.771, -11.056, -15.494, 12.480, -19.097,  6.617, 728.986, 23.432,  0.032,  3.000,  3.958
127.050, 120.766, 108.317, 124.670, 120.697, 114.633, 1508.990, 56.879,  0.038,  5.000, -1.000, -5.622, 18.825, -9.123, -8.738, 19.212, -10.474, 134.888, -26.753, -0.198,  4.000,  3.875
123.139, 120.659, 111.864, 123.467, 121.038, 115.495, 2774.080, 341.727,  0.123,  8.000,  1.938,  0.535,  4.931,  7.427, -9.307, -1.786, 11.093, -1069.943, -309.078,  0.289, -1.000, -0.271
122.423, 131.437, 108.333, 122.534, 127.646, 109.821, 828.832, 32.341,  0.039,  4.000, -8.125, -7.664, -3.722,  6.969, -4.899,  2.707,  2.192, 625.610, -15.724, -0.025,  2.000,  7.625
135.684, 90.058, 134.258, 135.998, 89.372, 134.630, 1132.855, 56.947,  0.050,  5.000, -2.375, 15.475, -32.892, 17.417, 13.938, -30.708, 16.771, -340.864, -23.938,  0.070, -2.000, -0.125
119.687, 118.905, 114.195, 122.554, 125.967, 111.479, 290.499, 51.554,  0.177,  7.000,  1.214, -11.566, -5.241, 24.020, -14.612, -4.375, 18.987, -30.700, -39.906,  1.300, -4.000, -7.381
133.698, 115.735, 124.642, 131.211, 108.912, 119.877, 72.885,  5.282,  0.072,  7.000,  0.000, -21.685, -1.445,  9.056, -14.652,  0.462, 14.189, -56.494, -4.571,  0.081, -4.000, -6.333
130.210, 127.620, 102.170, 134.108, 124.148, 101.744, 364.165, 25.799,  0.071, 11.000,  4.818, -8.449, 10.283, -1.834, -15.789, 20.954, -5.165, -168.553, -23.120,  0.137, -10.000, -11.318
117.697, 121.258, 121.045, 138.289, 104.435, 117.275, 1739.009, 109.925,  0.063,  7.000, -1.714, -0.338, 13.185, -6.769, -12.966, 26.969, -14.003, -1236.748, -31.435,  0.025, -4.000, -3.786
95.259, 129.993, 134.748, 99.798, 132.770, 127.432, 695.026, 76.121,  0.110,  6.000, -1.700, 22.544, -5.823, -16.721, 18.005, -8.600, -9.405, -538.535, -64.730,  0.120, -4.000, -6.300
116.442, 113.741, 130.212, 112.737, 113.517, 133.746, 26464.945, 1916.425,  0.072,  7.000, -0.600, -10.019,  8.286,  5.088,  7.189,  5.116, -12.305, -7057.143, -1130.739,  0.160,  6.000,  6.892
